n (number of vertices), total_cycle, total_flops, gbuild_cycle, prop_cycle, bel_cycle, gbuild_flops, prop_flops, bel_flops
981, 29919511.100000, 2903141, 257453.200000, 29626715.300000, 35342.600000, 3360, 2896120, 3661
1879, 232098036.500000, 16685273, 506267.100000, 231490442.500000, 101326.900000, 5330, 16670440, 9503
2442, 331693077.000000, 23140306, 742946.200000, 330789716.200000, 160414.600000, 7000, 23119600, 13706
3128, 603584028.100000, 39929855, 1311845.400000, 602023010.000000, 249172.700000, 10903, 39895360, 23592
4142, 1100619532.200000, 75715036, 2035992.000000, 1098208079.400000, 375460.800000, 16302, 75661960, 36774
4847, 1432054654.000000, 99569487, 2676156.700000, 1428895863.300000, 482634.000000, 20984, 99500580, 47923
5167, 1685232788.700000, 116589951, 3304923.700000, 1681358331.200000, 569533.800000, 24544, 116508680, 56727
5879, 2287868271.500000, 168660776, 4082530.200000, 2283119944.500000, 665796.800000, 32481, 168552120, 76175
6452, 3020738626.800000, 236897521, 5351368.400000, 3014560763.000000, 826495.400000, 41461, 236757140, 98920
7272, 4459375586.099999, 360000424, 7100188.000000, 4451190307.400000, 1085090.700000, 53616, 359818520, 128288
7766, 5455530720.200000, 434997620, 8478261.900000, 5445754908.500000, 1297549.800000, 62886, 434783140, 151594
8522, 6913650233.400000, 617688543, 9864666.200000, 6902309548.000000, 1476019.200000, 73149, 617438540, 176854
9278, 8909734396.400000, 789198292, 11488198.600000, 8896412574.100000, 1833623.700000, 86958, 788899260, 212074
10334, 11743217484.099998, 1086870631, 14196870.300000, 11726880379.799999, 2140234.000000, 103537, 1086512220, 254874
