n (number of vertices), total_cycle, total_flops, gbuild_cycle, prop_cycle, gbuild_flops, prop_flops, bel_flops
981, 124216868.700000, 7624890, 106644.700000, 124110224.000000, 3360, 7570200, 51330
4847, 1881733291.400000, 195953094, 1457269.000000, 1880276022.400000, 20984, 195268040, 664070
5167, 2198803774.000000, 229086994, 1697902.500000, 2197105871.500000, 24544, 228274420, 788030
1879, 372605571.900000, 36384040, 240799.500000, 372364772.400000, 5330, 36248720, 129990
5879, 2983787227.600000, 318952291, 2300499.300000, 2981486728.300000, 32481, 317865140, 1054670
6452, 3954780518.100000, 436951981, 3003890.000000, 3951776628.100000, 41461, 435551440, 1359080
2442, 493613203.400000, 48683420, 359104.700000, 493254098.700000, 7000, 48490720, 185700
7272, 5658475266.500000, 652324356, 3982977.600000, 5654492288.900000, 53616, 650510700, 1760040
7766, 6838558626.500000, 793677026, 4723940.000000, 6833834686.500000, 62886, 791538400, 2075740
8522, 8959568859.300001, 1132600189, 5771375.700000, 8953797483.600000, 73149, 1130105780, 2421260
9278, 11188019772.799999, 1405621998, 7106660.900000, 11180913111.900000, 86958, 1402655900, 2879140
3128, 860578749.400000, 79004703, 658803.800000, 859919945.600000, 10903, 78671560, 322240
4142, 1455497992.700000, 147890882, 1123780.200000, 1454374212.500000, 16302, 147371800, 502780
10334, 14239942885.500000, 1863730237, 8876688.200000, 14231066197.299999, 103537, 1860183840, 3442860
