n (number of vertices), total_cycle, total_flops, gbuild_cycle, prop_cycle, gbuild_flops, prop_flops, bel_flops
981, 24842232.600000, 7624890, 104582.700000, 24737649.900000, 3360, 7570200, 51330
4847, 659182855.600000, 195953094, 1632208.200000, 657550647.400000, 20984, 195268040, 664070
5167, 757342908.200000, 229086994, 1694953.300000, 755647954.900000, 24544, 228274420, 788030
1879, 127129048.600000, 36384040, 286817.600000, 126842231.000000, 5330, 36248720, 129990
5879, 1046793991.300000, 318952291, 2360033.100000, 1044433958.200000, 32481, 317865140, 1054670
6452, 1430774293.500000, 436951981, 3182730.500000, 1427591563.000000, 41461, 435551440, 1359080
2442, 156041678.300000, 48683420, 365826.100000, 155675852.200000, 7000, 48490720, 185700
7272, 2128123182.600000, 652324356, 4003637.300000, 2124119545.300000, 53616, 650510700, 1760040
7766, 2585152924.100000, 793677026, 4777763.200000, 2580375160.900000, 62886, 791538400, 2075740
8522, 3692762726.300000, 1132600189, 5518462.700000, 3687244263.600000, 73149, 1130105780, 2421260
9278, 4685783866.100000, 1405621998, 6887395.600000, 4678896470.500000, 86958, 1402655900, 2879140
3128, 264463427.000000, 79004703, 688252.300000, 263775174.700000, 10903, 78671560, 322240
4142, 486251630.400000, 147890882, 1126215.000000, 485125415.400000, 16302, 147371800, 502780
10334, 6113839104.100000, 1863730237, 9042917.600000, 6104796186.500000, 103537, 1860183840, 3442860
