n (number of vertices), total_cycle, total_flops, gbuild_cycle, prop_cycle, bel_cycle, gbuild_flops, prop_flops, bel_flops
981, 9422167.000000, 2903141, 114712.000000, 9272918.200000, 34536.800000, 3360, 2896120, 3661
4847, 342453655.200000, 99569487, 1640169.600000, 340532049.400000, 281436.200000, 20984, 99500580, 47923
5167, 403646993.200000, 116589951, 1973895.000000, 401339479.600000, 333618.600000, 24544, 116508680, 56727
1879, 56797784.800000, 16685273, 290152.200000, 56427806.800000, 79825.800000, 5330, 16670440, 9503
5879, 581917274.600000, 168660776, 2661894.600000, 578879996.600000, 375383.400000, 32481, 168552120, 76175
6452, 819081746.000000, 236897521, 3509926.000000, 815134679.200000, 437140.800000, 41461, 236757140, 98920
2442, 79300675.600000, 23140306, 427509.800000, 78761337.000000, 111828.800000, 7000, 23119600, 13706
7272, 1331071240.400000, 360000424, 4783033.400000, 1325762484.400000, 525722.600000, 53616, 359818520, 128288
7766, 1566176718.200000, 434997620, 6011735.800000, 1559567277.400000, 597705.000000, 62886, 434783140, 151594
8522, 2153184132.400000, 617688543, 6376201.600000, 2146163520.400000, 644410.400000, 73149, 617438540, 176854
9278, 2871132716.600000, 789198292, 7945570.400000, 2862438195.400000, 748950.800000, 86958, 788899260, 212074
3128, 135537203.000000, 39929855, 751393.000000, 134621918.200000, 163891.800000, 10903, 39895360, 23592
4142, 259667034.200000, 75715036, 1209066.000000, 258229047.800000, 228920.400000, 16302, 75661960, 36774
10334, 3798097287.400000, 1086870631, 9235282.600000, 3788018376.800000, 843628.000000, 103537, 1086512220, 254874
