n (number of vertices), total_cycle, total_flops, gbuild_cycle, prop_cycle, bel_cycle, gbuild_flops, prop_flops, bel_flops, iterations, old_prop_flops, old_bel_flops, old_total_flops, bytes_seq, bytes_rnd, sizeof_rnd
169867, 5122350029.100000, 3858482966, 2033314567.300000, 3063402364.400000, 25633097.400000, 17612397, 3782379580, 58490989, 10, 5887738703780, 58490989, 5887814807166, 233284488, 115962776, 4
187172, 6048869886.000000, 4395655085, 2453914784.888889, 3566080338.777778, 28874762.333333, 20060809, 4308971260, 66623016, 10, 7623877874340, 66623016, 7623964558165, 265743376, 132123000, 4
204131, 6981241176.250000, 4943819562, 2840428370.500000, 4108532152.625000, 32280653.125000, 22568225, 4846331240, 74920097, 10, 9600513986440, 74920097, 9600611474762, 298863864, 148615408, 4
221003, 8280545390.571428, 5493628325, 3365121479.285714, 4879785891.000000, 35638020.285714, 25073188, 5385313160, 83241977, 10, 11805626284760, 83241977, 11805734599925, 332083896, 165157936, 4
45729, 595387847.141176, 536651105, 263065798.435294, 327804199.200000, 4517849.505882, 2442374, 526034980, 8173751, 10, 145103891980, 8173751, 145114508105, 32512088, 16073128, 4
71223, 1232744851.365854, 1098103147, 511141020.634146, 713355177.024390, 8248653.707317, 5006374, 1076410600, 16686173, 10, 530488508280, 16686173, 530510200827, 66459800, 32945008, 4
92295, 1956016535.730769, 1651975400, 819562364.230769, 1124629262.769231, 11824908.730769, 7530491, 1619368260, 25076649, 10, 1142974063100, 25076649, 1143006670240, 99937416, 49599528, 4
111227, 2668671472.210526, 2202860461, 1091089783.210526, 1562372967.052631, 15208721.947368, 10051092, 2159391180, 33418189, 10, 1983622274260, 33418189, 1983665743541, 133227848, 66169016, 4
135339, 3422270473.533333, 2763444458, 1372395861.000000, 2031032499.666667, 18842112.866667, 12608081, 2708921220, 41915157, 10, 3076498437660, 41915157, 3076552960898, 167119272, 83018280, 4
152638, 4169375296.307693, 3309538662, 1631070446.000000, 2516094936.230769, 22209914.076923, 15104716, 3244252320, 50181626, 10, 4360387411360, 50181626, 4360452697702, 200115952, 99447424, 4
221588, 8499157198.166666, 5513114465, 3528085678.666667, 4935139292.500000, 35932227.000000, 25163269, 5404414320, 83536876, 10, 11888072091920, 83536876, 11888180792065, 333261152, 165744224, 4
