n (number of vertices), total_cycle, total_flops, gbuild_cycle, prop_cycle, bel_cycle, gbuild_flops, prop_flops, bel_flops, iterations, old_prop_flops, old_bel_flops, old_total_flops, bytes_seq, bytes_rnd, sizeof_rnd
169867, 2560519431972.000000, 454341344, 2380398427.000000, 2558075592335.000000, 63441210.000000, 17612397, 378237958, 58490989, 1, 588773870378, 58490989, 588849973764, 466568976, 231925552, 8
187172, 3317806447264.000000, 517580951, 2932797952.000000, 3314801646003.000000, 72003309.000000, 20060809, 430897126, 66623016, 1, 762387787434, 66623016, 762474471259, 531486752, 264246000, 8
204131, 4178187669543.000000, 582121446, 3545558603.000000, 4174561791279.000000, 80319661.000000, 22568225, 484633124, 74920097, 1, 960051398644, 74920097, 960148886966, 597727728, 297230816, 8
221003, 5140713359228.000000, 646846481, 4060882925.000000, 5136561210789.000000, 91265514.000000, 25073188, 538531316, 83241977, 1, 1180562628476, 83241977, 1180670943641, 664167792, 330315872, 8
45729, 62403804959.000000, 63219623, 297293246.000000, 62095820271.000000, 10691442.000000, 2442374, 52603498, 8173751, 1, 14510389198, 8173751, 14521005323, 65024176, 32146256, 8
71223, 229464901419.000000, 129333607, 620837731.000000, 228824841560.000000, 19222128.000000, 5006374, 107641060, 16686173, 1, 53048850828, 16686173, 53070543375, 132919600, 65890016, 8
92295, 495616455478.000000, 194543966, 919868023.000000, 494668145282.000000, 28442173.000000, 7530491, 161936826, 25076649, 1, 114297406310, 25076649, 114330013450, 199874832, 99199056, 8
111227, 861106647620.000000, 259408399, 1230865315.000000, 859838581957.000000, 37200348.000000, 10051092, 215939118, 33418189, 1, 198362227426, 33418189, 198405696707, 266455696, 132338032, 8
135339, 1337311062031.000000, 325415360, 1540589336.000000, 1335724306662.000000, 46166033.000000, 12608081, 270892122, 41915157, 1, 307649843766, 41915157, 307704367004, 334238544, 166036560, 8
152638, 1896707063775.000000, 389711574, 2071871848.000000, 1894580416809.000000, 54775118.000000, 15104716, 324425232, 50181626, 1, 436038741136, 50181626, 436104027478, 400231904, 198894848, 8
221588, 5177580520179.000000, 649141577, 4637727266.000000, 5172851697569.000000, 91095344.000000, 25163269, 540441432, 83536876, 1, 1188807209192, 83536876, 1188915909337, 666522304, 331488448, 8
