n (number of vertices), total_cycle, total_flops, gbuild_cycle, prop_cycle, bel_cycle, gbuild_flops, prop_flops, bel_flops, iterations, old_prop_flops, old_bel_flops, old_total_flops, databytes
169867, 10239075631.500000, 3858482966, 3834810449.000000, 6338280400.500000, 65984782.000000, 17612397, 3782379580, 58490989, 10, 5887738703780, 58490989, 5887814807166, 583211220
187172, 11878656153.000000, 4395655085, 4406142047.500000, 7397287304.500000, 75226801.000000, 20060809, 4308971260, 66623016, 10, 7623877874340, 66623016, 7623964558165, 664358440
204131, 13630281061.000000, 4943819562, 5033111315.000000, 8513484208.000000, 83685538.000000, 22568225, 4846331240, 74920097, 10, 9600513986440, 74920097, 9600611474762, 747159660
221003, 15457162403.500000, 5493628325, 5706727277.500000, 9654566947.500000, 95868178.500000, 25073188, 5385313160, 83241977, 10, 11805626284760, 83241977, 11805734599925, 830209740
45729, 1075258969.736842, 536651105, 389817628.263158, 675048320.052631, 10393021.421053, 2442374, 526034980, 8173751, 10, 145103891980, 8173751, 145114508105, 81280220
71223, 2475622444.555555, 1098103147, 980179896.444444, 1475306484.444444, 20136063.666667, 5006374, 1076410600, 16686173, 10, 530488508280, 16686173, 530510200827, 166149500
92295, 3908865831.500000, 1651975400, 1525018878.666667, 2354678240.166667, 29168712.666667, 7530491, 1619368260, 25076649, 10, 1142974063100, 25076649, 1143006670240, 249843540
111227, 5473910113.750000, 2202860461, 2108986821.000000, 3326373016.000000, 38550276.750000, 10051092, 2159391180, 33418189, 10, 1983622274260, 33418189, 1983665743541, 333069620
135339, 7070430586.666666, 2763444458, 2694768653.000000, 4327821491.666666, 47840442.000000, 12608081, 2708921220, 41915157, 10, 3076498437660, 41915157, 3076552960898, 417798180
152638, 8561608574.000000, 3309538662, 3268413737.000000, 5236161219.000000, 57033618.000000, 15104716, 3244252320, 50181626, 10, 4360387411360, 50181626, 4360452697702, 500289880
221588, 15357550885.500000, 5513114465, 5749355544.000000, 9514610181.000000, 93585160.500000, 25163269, 5404414320, 83536876, 10, 11888072091920, 83536876, 11888180792065, 833152880
