n (number of vertices), total_cycle, total_flops, gbuild_cycle, prop_cycle, bel_cycle, gbuild_flops, prop_flops, bel_flops, iterations, old_prop_flops, old_bel_flops, old_total_flops, bytes_seq, bytes_rnd
169867, 9939170384.000000, 3858482966, 3833169052.000000, 6039665042.000000, 66336290.000000, 17612397, 3782379580, 58490989, 10, 5887738703780, 58490989, 5887814807166, 466568976, 231925552
187172, 11534526316.500000, 4395655085, 4455927912.500000, 7002934489.500000, 75663914.500000, 20060809, 4308971260, 66623016, 10, 7623877874340, 66623016, 7623964558165, 531486752, 264246000
204131, 13188998299.000000, 4943819562, 5064414955.000000, 8039389052.500000, 85194291.500000, 22568225, 4846331240, 74920097, 10, 9600513986440, 74920097, 9600611474762, 597727728, 297230816
221003, 14947890166.500000, 5493628325, 5729502012.000000, 9124098447.500000, 94289707.000000, 25073188, 5385313160, 83241977, 10, 11805626284760, 83241977, 11805734599925, 664167792, 330315872
45729, 942062873.681818, 536651105, 391462340.272727, 540026563.045455, 10573970.363636, 2442374, 526034980, 8173751, 10, 145103891980, 8173751, 145114508105, 65024176, 32146256
71223, 2311374749.000000, 1098103147, 995712032.444444, 1295200715.333333, 20462001.222222, 5006374, 1076410600, 16686173, 10, 530488508280, 16686173, 530510200827, 132919600, 65890016
92295, 3696556532.333333, 1651975400, 1542590284.166667, 2124181492.166667, 29784756.000000, 7530491, 1619368260, 25076649, 10, 1142974063100, 25076649, 1143006670240, 199874832, 99199056
111227, 5159370350.000000, 2202860461, 2102404794.750000, 3017660870.250000, 39304685.000000, 10051092, 2159391180, 33418189, 10, 1983622274260, 33418189, 1983665743541, 266455696, 132338032
135339, 6708698430.500000, 2763444458, 2691857362.000000, 3967911173.750000, 48929894.750000, 12608081, 2708921220, 41915157, 10, 3076498437660, 41915157, 3076552960898, 334238544, 166036560
152638, 8248204708.000000, 3309538662, 3247675590.666667, 4942704035.333333, 57825082.000000, 15104716, 3244252320, 50181626, 10, 4360387411360, 50181626, 4360452697702, 400231904, 198894848
221588, 15028832114.500000, 5513114465, 5696844948.000000, 9238025046.500000, 93962120.000000, 25163269, 5404414320, 83536876, 10, 11888072091920, 83536876, 11888180792065, 666522304, 331488448
