n (number of vertices), total_cycle, total_flops, gbuild_cycle, prop_cycle, bel_cycle, gbuild_flops, prop_flops, bel_flops, iterations, old_prop_flops, old_bel_flops, old_total_flops, bytes_seq, bytes_rnd, sizeof_rnd
169867, 6993200743.010101, 3872549810, 2489313903.555555, 4373702637.272727, 130184202.181818, 17612397, 3795167620, 59769793, 10, 5891779291540, 59769793, 5891856673730, 238399704, 118520384, 4
187172, 8674353981.444445, 4411074665, 2945530024.555555, 5581164386.888888, 147659570.000000, 20060809, 4322989060, 68024796, 10, 7628530899620, 68024796, 7628618985225, 271350496, 134926560, 4
204131, 10600398680.253967, 4960526098, 3694596955.111111, 6739466121.571428, 166335603.571429, 22568225, 4861519000, 76438873, 10, 9605692505800, 76438873, 9605791512898, 304938968, 151652960, 4
221003, 12571495373.444445, 5511628637, 4331651858.444445, 8053883371.833333, 185960143.166667, 25073188, 5401677080, 84878369, 10, 11811417289640, 84878369, 11811527241197, 338629464, 168430720, 4
45729, 741827778.052149, 540772101, 263253849.263158, 459935560.926606, 18638367.862385, 2442374, 529781340, 8548387, 10, 145675014540, 8548387, 145686005301, 34010632, 16822400, 4
71223, 1566950528.372549, 1104371299, 547301613.000000, 982452721.058823, 37196194.313725, 5006374, 1082108920, 17256005, 10, 531633351240, 17256005, 531655613619, 68739128, 34084672, 4
92295, 2601806145.718750, 1659949036, 1012582711.000000, 1533393652.062500, 55829782.656250, 7530491, 1626617020, 25801525, 10, 1144742179340, 25801525, 1144775511356, 102836920, 51049280, 4
111227, 3314446972.583333, 2212318745, 1149100833.666667, 2091155455.000000, 74190683.916667, 10051092, 2167989620, 34278033, 10, 1985961496260, 34278033, 1986005825385, 136667224, 67888704, 4
135339, 4344951661.944445, 2774910638, 1542043043.444444, 2708470017.944444, 94438600.555556, 12608081, 2719345020, 42957537, 10, 3079427005580, 42957537, 3079482571198, 171288792, 85103040, 4
152638, 5541789887.793651, 3322315558, 2000016053.222222, 3429924229.357142, 111849605.214286, 15104716, 3255867680, 51343162, 10, 4363900264960, 51343162, 4363966712838, 204762096, 101770496, 4
221588, 12576463066.833332, 5531164321, 4242102868.666667, 8148310921.833333, 186049276.333333, 25163269, 5420823280, 85177772, 10, 11893856964560, 85177772, 11893967305601, 339824736, 169026016, 4
