n (number of vertices), total_cycle, total_flops, gbuild_cycle, prop_cycle, bel_cycle, gbuild_flops, prop_flops, bel_flops, iterations, old_prop_flops, old_bel_flops, old_total_flops, bytes_seq, bytes_rnd, sizeof_rnd
169867, 5203516264.688889, 3858482966, 1955679299.888889, 3217212630.400000, 30624334.400000, 17612397, 3782379580, 58490989, 10, 5887738703780, 58490989, 5887814807166, 233284488, 115962776, 4
187172, 6039574935.623932, 4395655085, 2289576466.777778, 3715779787.307693, 34218681.538462, 20060809, 4308971260, 66623016, 10, 7623877874340, 66623016, 7623964558165, 265743376, 132123000, 4
204131, 6929693043.527778, 4943819562, 2613236840.111111, 4278070815.666667, 38385387.750000, 22568225, 4846331240, 74920097, 10, 9600513986440, 74920097, 9600611474762, 298863864, 148615408, 4
221003, 8010300593.733334, 5493628325, 3142070311.333333, 4825729026.700000, 42501255.700000, 25073188, 5385313160, 83241977, 10, 11805626284760, 83241977, 11805734599925, 332083896, 165157936, 4
45729, 620654912.881915, 536651105, 261016358.350000, 354348978.517730, 5289576.014184, 2442374, 526034980, 8173751, 10, 145103891980, 8173751, 145114508105, 32512088, 16073128, 4
71223, 1288706988.592308, 1098103147, 513081300.500000, 765898538.446154, 9727149.646154, 5006374, 1076410600, 16686173, 10, 530488508280, 16686173, 530510200827, 66459800, 32945008, 4
92295, 2027109213.166667, 1651975400, 817057068.333333, 1196199801.714286, 13852343.119048, 7530491, 1619368260, 25076649, 10, 1142974063100, 25076649, 1143006670240, 99937416, 49599528, 4
111227, 2755994249.555555, 2202860461, 1087927772.555556, 1650113149.366667, 17953327.633333, 10051092, 2159391180, 33418189, 10, 1983622274260, 33418189, 1983665743541, 133227848, 66169016, 4
135339, 3538738285.212560, 2763444458, 1367466224.777778, 2148912536.652174, 22359523.782609, 12608081, 2708921220, 41915157, 10, 3076498437660, 41915157, 3076552960898, 167119272, 83018280, 4
152638, 4368741003.795321, 3309538662, 1670809266.111111, 2671656149.631579, 26275588.052632, 15104716, 3244252320, 50181626, 10, 4360387411360, 50181626, 4360452697702, 200115952, 99447424, 4
221588, 8041636063.677778, 5513114465, 3159534386.777778, 4839806074.300000, 42295602.600000, 25163269, 5404414320, 83536876, 10, 11888072091920, 83536876, 11888180792065, 333261152, 165744224, 4
