n (number of vertices), total_cycle, total_flops, gbuild_cycle, prop_cycle, bel_cycle, gbuild_flops, prop_flops, bel_flops, iterations, old_prop_flops, old_bel_flops, old_total_flops, bytes_seq, bytes_rnd
1010, 4149479.799347, 2240979, 946181.402123, 3136466.744234, 66831.652990, 19013, 2186540, 35426, 10, 272749140, 35426, 272803579, 275328, 129584
2020, 15771065.992991, 8426843, 4076170.476636, 11502640.584891, 192254.931464, 58023, 8238500, 130320, 10, 1997513180, 130320, 1997701523, 1026400, 497040
3030, 42030924.185031, 20876307, 13109174.869023, 28550700.158004, 371049.158004, 117033, 20439460, 319814, 10, 8295645020, 319814, 8296081867, 2534272, 1242896
4040, 73339522.658182, 35269275, 26005930.418182, 46735172.032727, 598420.207273, 196043, 34534780, 538452, 10, 17906586260, 538452, 17907320755, 4275296, 2105328
5050, 108452789.677419, 56360387, 41779573.860215, 65787150.155914, 886065.661290, 295053, 55207060, 858274, 10, 36707283500, 858274, 36708436827, 6825792, 3372496
6060, 153785586.303030, 79721835, 58916551.060606, 93619827.856061, 1249207.386364, 414063, 78095580, 1212192, 10, 61391187380, 1212192, 61392813635, 9649056, 4776048
7070, 203617896.500000, 105193635, 77814644.140000, 124145149.970000, 1658102.390000, 553073, 103042780, 1597782, 10, 91778587460, 1597782, 91780738315, 12725696, 6306288
8080, 279004418.671233, 141908075, 107622783.739726, 169253343.917808, 2128291.013699, 712083, 139042580, 2153412, 10, 146377632380, 2153412, 146380497875, 17162656, 8516688
9090, 387900716.269231, 178224603, 163639583.076923, 221573108.480769, 2688024.711538, 891093, 174630800, 2702710, 10, 205503624640, 2702710, 205507218443, 21548960, 10701760
10100, 483327610.690476, 219957555, 206516684.285714, 273486645.428571, 3324280.976190, 1090103, 215533680, 3333772, 10, 281961265600, 3333772, 281965689475, 26589376, 13213888
