n (number of vertices), total_cycle, total_flops, gbuild_cycle, prop_cycle, bel_cycle, gbuild_flops, prop_flops, bel_flops, iterations, old_prop_flops, old_bel_flops, old_total_flops, bytes_seq, bytes_rnd
1010, 1355010.049928, 2240979, 693489.607166, 623911.479252, 37608.963509, 19013, 2186540, 35426, 10, 272749140, 35426, 272803579, 137664, 64792
2020, 6292907.180835, 8426843, 3293596.415147, 2890118.293354, 109192.472334, 58023, 8238500, 130320, 10, 1997513180, 130320, 1997701523, 513200, 248520
3030, 16178571.547200, 20876307, 7989501.801600, 8010787.520800, 178282.224800, 117033, 20439460, 319814, 10, 8295645020, 319814, 8296081867, 1267136, 621448
4040, 34872319.937824, 35269275, 18189274.259067, 16405319.089810, 277726.588946, 196043, 34534780, 538452, 10, 17906586260, 538452, 17907320755, 2137648, 1052664
5050, 60700631.201807, 56360387, 32310950.683735, 27988216.403614, 401464.114458, 295053, 55207060, 858274, 10, 36707283500, 858274, 36708436827, 3412896, 1686248
6060, 91692830.268182, 79721835, 49098143.254545, 42055815.918182, 538871.095455, 414063, 78095580, 1212192, 10, 61391187380, 1212192, 61392813635, 4824528, 2388024
7070, 122745310.146341, 105193635, 63230990.743902, 58814571.542683, 699747.859756, 553073, 103042780, 1597782, 10, 91778587460, 1597782, 91780738315, 6362848, 3153144
8080, 181086006.405405, 141908075, 97528031.864865, 82652665.828829, 905308.711712, 712083, 139042580, 2153412, 10, 146377632380, 2153412, 146380497875, 8581328, 4258344
9090, 234810812.279070, 178224603, 127133284.755814, 106569697.209302, 1107830.313953, 891093, 174630800, 2702710, 10, 205503624640, 2702710, 205507218443, 10774480, 5350880
10100, 297885004.161765, 219957555, 162166266.117647, 134392504.235294, 1326233.808824, 1090103, 215533680, 3333772, 10, 281961265600, 3333772, 281965689475, 13294688, 6606944
