n (number of vertices), total_cycle, total_flops, gbuild_cycle, prop_cycle, bel_cycle, gbuild_flops, prop_flops, bel_flops, iterations, old_prop_flops, old_bel_flops, old_total_flops, bytes_seq, bytes_rnd, sizeof_rnd
1010, 2449970.160967, 2240979, 938571.124389, 1444521.514357, 66877.522221, 19013, 2186540, 35426, 10, 272749140, 35426, 272803579, 275328, 129584, 8
2020, 9570602.332396, 8426843, 3933892.757150, 5445019.485232, 191690.090014, 58023, 8238500, 130320, 10, 1997513180, 130320, 1997701523, 1026400, 497040, 8
3030, 28538011.150704, 20876307, 13038785.212676, 15143629.849296, 355596.088732, 117033, 20439460, 319814, 10, 8295645020, 319814, 8296081867, 2534272, 1242896, 8
4040, 53338196.436842, 35269275, 25045027.152632, 27700042.986842, 593126.297368, 196043, 34534780, 538452, 10, 17906586260, 538452, 17907320755, 4275296, 2105328, 8
5050, 89519446.659292, 56360387, 42561862.044248, 46071429.769912, 886154.845133, 295053, 55207060, 858274, 10, 36707283500, 858274, 36708436827, 6825792, 3372496, 8
6060, 128847162.038217, 79721835, 60234325.050955, 67359539.331210, 1253297.656051, 414063, 78095580, 1212192, 10, 61391187380, 1212192, 61392813635, 9649056, 4776048, 8
7070, 171986965.330508, 105193635, 78784832.838983, 91549223.491525, 1652909.000000, 553073, 103042780, 1597782, 10, 91778587460, 1597782, 91780738315, 12725696, 6306288, 8
8080, 237201488.767442, 141908075, 107680062.406977, 127381653.337209, 2139773.023256, 712083, 139042580, 2153412, 10, 146377632380, 2153412, 146380497875, 17162656, 8516688, 8
9090, 333922399.016393, 178224603, 162960895.327869, 168258218.377049, 2703285.311475, 891093, 174630800, 2702710, 10, 205503624640, 2702710, 205507218443, 21548960, 10701760, 8
10100, 422663005.291667, 219957555, 203556362.458333, 215748967.000000, 3357675.833333, 1090103, 215533680, 3333772, 10, 281961265600, 3333772, 281965689475, 26589376, 13213888, 8
