n (number of vertices), total_cycle, total_flops, gbuild_cycle, prop_cycle, bel_cycle, gbuild_flops, prop_flops, bel_flops, iterations, old_prop_flops, old_bel_flops, old_total_flops, databytes
1010, 3295793.050503, 2240979, 695520.151185, 2552743.427736, 47529.471582, 19013, 2186540, 35426, 10, 272749140, 35426, 272803579, 206496
2020, 13302915.330481, 8426843, 3305727.541804, 9862136.652403, 135051.136274, 58023, 8238500, 130320, 10, 1997513180, 130320, 1997701523, 769800
3030, 33185603.009885, 20876307, 8707435.403624, 24274632.207578, 203535.398682, 117033, 20439460, 319814, 10, 8295645020, 319814, 8296081867, 1900704
4040, 59356511.651917, 35269275, 18577221.592920, 40442211.244838, 337078.814159, 196043, 34534780, 538452, 10, 17906586260, 538452, 17907320755, 3206472
5050, 94005070.995327, 56360387, 32891370.107477, 60642279.841121, 471421.046729, 295053, 55207060, 858274, 10, 36707283500, 858274, 36708436827, 5119344
6060, 136106112.310811, 79721835, 48732181.371622, 86750637.047297, 623293.891892, 414063, 78095580, 1212192, 10, 61391187380, 1212192, 61392813635, 7236792
7070, 179503375.732143, 105193635, 63520697.285714, 115133928.696429, 848749.750000, 553073, 103042780, 1597782, 10, 91778587460, 1597782, 91780738315, 9544272
8080, 253551350.187500, 141908075, 97385234.350000, 155101049.100000, 1065066.737500, 712083, 139042580, 2153412, 10, 146377632380, 2153412, 146380497875, 12871992
9090, 324811604.370968, 178224603, 127966790.887097, 195491243.661290, 1353569.822581, 891093, 174630800, 2702710, 10, 205503624640, 2702710, 205507218443, 16161720
10100, 404959563.260000, 219957555, 162459876.400000, 240880833.740000, 1618853.120000, 1090103, 215533680, 3333772, 10, 281961265600, 3333772, 281965689475, 19942032
