n (number of vertices), total_cycle, total_flops, gbuild_cycle, prop_cycle, bel_cycle, gbuild_flops, prop_flops, bel_flops, iterations, old_prop_flops, old_bel_flops, old_total_flops, bytes_seq, bytes_rnd, sizeof_rnd
1010, 2482524.581419, 2309135, 868207.071887, 1534934.919724, 79382.589808, 19013, 2248500, 41622, 10, 275104020, 41622, 275164655, 162448, 77184, 4
2020, 9762430.973578, 8554047, 3578072.965665, 5905404.518247, 278953.489666, 58023, 8354140, 141884, 10, 2006110140, 141884, 2006310047, 559456, 271648, 4
3030, 26387104.525879, 21170007, 10253360.803279, 15477659.493498, 656084.229102, 117033, 20706460, 346514, 10, 8320385820, 346514, 8320849367, 1373936, 674848, 4
4040, 48485155.266859, 35599495, 19149979.309160, 28190298.589397, 1144877.368302, 196043, 34834980, 568472, 10, 17948356900, 568472, 17949121415, 2257728, 1112704, 4
5050, 82049709.586467, 56794711, 33404308.280000, 46862623.200562, 1782778.105904, 295053, 55601900, 897758, 10, 36766455660, 897758, 36767648471, 3570832, 1765216, 4
6060, 116118991.950138, 80221191, 44785039.250000, 68776994.565337, 2556958.134801, 414063, 78549540, 1257588, 10, 61477875140, 1257588, 61479546791, 5006112, 2478816, 4
7070, 159598391.639184, 105754591, 64103749.307692, 92115104.893186, 3379537.438306, 553073, 103552740, 1648778, 10, 91887227620, 1648778, 91889429471, 6566832, 3255136, 4
8080, 218573774.518797, 142546031, 88846552.596491, 125154631.533835, 4572590.388471, 712083, 139622540, 2211408, 10, 146518271180, 2211408, 146521194671, 8813312, 4374336, 4
9090, 281788387.438395, 178940395, 115491928.113636, 160491369.543408, 5805089.781350, 891093, 175281520, 2767782, 10, 205696877200, 2767782, 205700536075, 11034768, 5481024, 4
10100, 350449931.382086, 220739699, 139444897.055556, 203696489.248980, 7308545.077551, 1090103, 216244720, 3404876, 10, 282195030480, 3404876, 282199525459, 13579104, 6749152, 4
