n (number of vertices), total_cycle, total_flops, gbuild_cycle, prop_cycle, bel_cycle, gbuild_flops, prop_flops, bel_flops, iterations, old_prop_flops, old_bel_flops, old_total_flops, bytes_seq, bytes_rnd, sizeof_rnd
1010, 1919465.985786, 2240979, 678365.959791, 1191940.750047, 49159.275949, 19013, 2186540, 35426, 10, 272749140, 35426, 272803579, 137664, 64792, 4
2020, 7808035.999233, 8426843, 3236849.968942, 4434273.909126, 136912.121166, 58023, 8238500, 130320, 10, 1997513180, 130320, 1997701523, 513200, 248520, 4
3030, 19198592.589744, 20876307, 7954558.235518, 11039922.849953, 204111.504274, 117033, 20439460, 319814, 10, 8295645020, 319814, 8296081867, 1267136, 621448, 4
4040, 39116926.306202, 35269275, 18115737.257752, 20668737.461240, 332451.587209, 196043, 34534780, 538452, 10, 17906586260, 538452, 17907320755, 2137648, 1052664, 4
5050, 66698388.715232, 56360387, 32162587.923841, 34084689.029801, 451111.761589, 295053, 55207060, 858274, 10, 36707283500, 858274, 36708436827, 3412896, 1686248, 4
6060, 99360657.231527, 79721835, 48525971.472906, 50219017.625616, 615668.133005, 414063, 78095580, 1212192, 10, 61391187380, 1212192, 61392813635, 4824528, 2388024, 4
7070, 131898485.712418, 105193635, 62792778.189542, 68270308.503268, 835399.019608, 553073, 103042780, 1597782, 10, 91778587460, 1597782, 91780738315, 6362848, 3153144, 4
8080, 190621181.037736, 141908075, 95652658.339623, 93909696.264151, 1058826.433962, 712083, 139042580, 2153412, 10, 146377632380, 2153412, 146380497875, 8581328, 4258344, 4
9090, 250026949.691358, 178224603, 126897838.395062, 121798486.802469, 1330624.493827, 891093, 174630800, 2702710, 10, 205503624640, 2702710, 205507218443, 10774480, 5350880, 4
10100, 316082148.406250, 219957555, 162058392.093750, 152424110.796875, 1599645.515625, 1090103, 215533680, 3333772, 10, 281961265600, 3333772, 281965689475, 13294688, 6606944, 4
