n (number of vertices), total_cycle, total_flops, gbuild_cycle, prop_cycle, bel_cycle, gbuild_flops, prop_flops, bel_flops, iterations, old_prop_flops, old_bel_flops, old_total_flops, bytes_seq, bytes_rnd, sizeof_rnd
1010, 1934214.752545, 2240979, 674332.978413, 1211124.157994, 48757.616139, 19013, 2186540, 35426, 10, 272749140, 35426, 272803579, 137664, 64792, 4
2020, 7817790.562596, 8426843, 3242693.747312, 4438726.632488, 136370.182796, 58023, 8238500, 130320, 10, 1997513180, 130320, 1997701523, 513200, 248520, 4
3030, 18855287.976701, 20876307, 7945722.333644, 10707175.051258, 202390.591799, 117033, 20439460, 319814, 10, 8295645020, 319814, 8296081867, 1267136, 621448, 4
4040, 38942551.424710, 35269275, 18040651.102317, 20573839.980695, 328060.341699, 196043, 34534780, 538452, 10, 17906586260, 538452, 17907320755, 2137648, 1052664, 4
5050, 66317189.148026, 56360387, 31980609.904605, 33889094.917763, 447484.325658, 295053, 55207060, 858274, 10, 36707283500, 858274, 36708436827, 3412896, 1686248, 4
6060, 99027000.705882, 79721835, 48354939.686275, 50053655.612745, 618405.406863, 414063, 78095580, 1212192, 10, 61391187380, 1212192, 61392813635, 4824528, 2388024, 4
7070, 131964659.183007, 105193635, 62778868.705882, 68348555.901961, 837234.575163, 553073, 103042780, 1597782, 10, 91778587460, 1597782, 91780738315, 6362848, 3153144, 4
8080, 192200289.771429, 141908075, 96526544.295238, 94615401.019048, 1058344.457143, 712083, 139042580, 2153412, 10, 146377632380, 2153412, 146380497875, 8581328, 4258344, 4
9090, 247850887.646341, 178224603, 125598984.536585, 120923911.792683, 1327991.317073, 891093, 174630800, 2702710, 10, 205503624640, 2702710, 205507218443, 10774480, 5350880, 4
10100, 313959407.800000, 219957555, 160354231.276923, 152010022.661538, 1595153.861538, 1090103, 215533680, 3333772, 10, 281961265600, 3333772, 281965689475, 13294688, 6606944, 4
