n (number of vertices), total_cycle, total_flops, gbuild_cycle, prop_cycle, bel_cycle, gbuild_flops, prop_flops, bel_flops
981, 649251.314159, 1403895, 61478.387484, 570820.656448, 16952.270228, 3360, 1393440, 7095
4847, 9570262.158879, 17653725, 1224070.887850, 8144448.677570, 201742.593458, 20984, 17556640, 76101
5167, 11238685.087912, 20912481, 1497637.313187, 9514517.489011, 226530.285714, 24544, 20798800, 89137
1879, 1716375.071607, 3514567, 167448.220649, 1498720.462115, 50206.388843, 5330, 3492480, 16757
5879, 14912736.832117, 27923866, 2147848.649635, 12493859.445255, 271028.737226, 32481, 27774160, 117225
6452, 19003386.462963, 35913473, 2980762.407407, 15705710.675926, 316913.379630, 41461, 35723200, 148812
2442, 2657163.978093, 5005174, 271269.550258, 2308453.998711, 77440.429124, 7000, 4974720, 23454
7272, 25432094.987500, 46441524, 4411560.712500, 20640579.850000, 379954.425000, 53616, 46197360, 190548
7766, 29671877.797101, 54721192, 5057540.739130, 24206500.710145, 407836.347826, 62886, 54435200, 223106
8522, 35178508.896552, 63796399, 6645306.879310, 28069587.844828, 463614.172414, 73149, 63464080, 259170
9278, 40102293.627451, 75807748, 6913255.921569, 32690978.392157, 498059.313725, 86958, 75414320, 306470
3128, 4572946.503341, 8615303, 504504.080178, 3953105.944321, 115336.478842, 10903, 8565920, 38480
4142, 7370443.431655, 13395664, 961317.291367, 6245690.949640, 163435.190647, 16302, 13320800, 58562
10334, 50027639.780488, 90602891, 9719133.439024, 39732565.292683, 575941.048780, 103537, 90134400, 364954
221588, 28610187078.400002, 21726357425, 3535033408.000000, 25036025824.400002, 39127846.000000, 25163269, 21617657280, 83536876
