n (number of vertices), total_cycle, total_flops, gbuild_cycle, prop_cycle, bel_cycle, gbuild_flops, prop_flops, bel_flops
981, 1945190.510536, 1527270, 63128.643678, 1853082.211686, 28979.655172, 3360, 1515720, 8190
4847, 28735056.873239, 19104738, 1315776.746479, 27052250.577465, 367029.549296, 20984, 18981720, 102034
5167, 33891498.050000, 22623532, 1513237.266667, 31938280.800000, 439979.983333, 24544, 22478200, 120788
1879, 4519360.508889, 3815808, 170961.826667, 4273898.460000, 74500.222222, 5330, 3790040, 20438
5879, 46608138.386364, 30194701, 2351081.977273, 43678182.545455, 578873.863636, 32481, 30001080, 161140
6452, 63998460.718750, 38818949, 3626321.062500, 59623428.750000, 748710.906250, 41461, 38570400, 207088
2442, 6653224.326797, 5431036, 258957.228758, 6290074.339869, 104192.758170, 7000, 5394960, 29076
7272, 72496398.107143, 50184138, 3693984.071429, 67908246.607143, 894167.428571, 53616, 49862880, 267642
7766, 94229058.000000, 59120130, 4969252.818182, 88121769.954545, 1138035.227273, 62886, 58742000, 315244
8522, 106648644.421053, 68917639, 6378701.684211, 98998819.894737, 1271122.842105, 73149, 68477040, 367450
9278, 125718360.882353, 81881628, 6996491.058824, 117179396.882353, 1542472.941176, 86958, 81358160, 436510
3128, 14429598.964539, 9333763, 490706.836879, 13744753.900709, 194138.226950, 10903, 9272960, 49900
4142, 21928193.569892, 14502990, 924611.387097, 20711512.989247, 292069.193548, 16302, 14409200, 77488
10334, 149375161.000000, 97851933, 8091749.071429, 139455703.142857, 1827708.785714, 103537, 97226800, 521596
