n (number of vertices), total_cycle, total_flops, gbuild_cycle, prop_cycle, bel_cycle, gbuild_flops, prop_flops, bel_flops
981, 1068647.122105, 1527270, 63166.012632, 989730.424737, 15750.684737, 3360, 1515720, 8190
4847, 15211807.406015, 19104738, 1251958.977444, 13794760.533835, 165087.894737, 20984, 18981720, 102034
5167, 17665573.113043, 22623532, 1456739.373913, 16023376.043478, 185457.695652, 24544, 22478200, 120788
1879, 2609560.814103, 3815808, 162224.762821, 2404656.857692, 42679.193590, 5330, 3790040, 20438
5879, 23857376.435294, 30194701, 2152601.517647, 21474818.364706, 229956.552941, 32481, 30001080, 161140
6452, 28759206.042254, 38818949, 3214714.535211, 25278987.577465, 265503.929577, 41461, 38570400, 207088
2442, 3987997.762745, 5431036, 259923.647059, 3663269.976471, 64804.139216, 7000, 5394960, 29076
7272, 35159542.155172, 50184138, 3758931.965517, 31086778.120690, 313832.068966, 53616, 49862880, 267642
7766, 40218937.529412, 59120130, 4498110.176471, 35377964.901961, 342862.450980, 62886, 58742000, 315244
8522, 46892840.906977, 68917639, 6104297.046512, 40408059.790698, 380484.069767, 73149, 68477040, 367450
9278, 54337688.763158, 81881628, 7011047.763158, 46906555.789474, 420085.210526, 86958, 81358160, 436510
3128, 7312070.503597, 9333763, 492645.794964, 6722034.413669, 97390.294964, 10903, 9272960, 49900
4142, 11568855.171429, 14502990, 933853.571429, 10497910.828571, 137090.771429, 16302, 14409200, 77488
10334, 63639117.906250, 97851933, 8045479.781250, 55117630.250000, 476007.875000, 103537, 97226800, 521596
