n (number of vertices), total_cycle, total_flops, gbuild_cycle, prop_cycle, gbuild_flops, prop_flops, bel_flops
981, 54735408.800000, 7624890, 172914.000000, 54562494.800000, 3360, 7570200, 51330
4847, 854965891.600000, 195953094, 3071183.800000, 851894707.800000, 20984, 195268040, 664070
5167, 986217544.400000, 229086994, 3315042.400000, 982902502.000000, 24544, 228274420, 788030
1879, 160723662.800000, 36384040, 409525.000000, 160314137.800000, 5330, 36248720, 129990
5879, 1330269029.400000, 318952291, 4494395.000000, 1325774634.400000, 32481, 317865140, 1054670
6452, 1754027357.600000, 436951981, 6692970.600000, 1747334387.000000, 41461, 435551440, 1359080
2442, 213885039.800000, 48683420, 627670.200000, 213257369.600000, 7000, 48490720, 185700
7272, 2475175957.400000, 652324356, 8041349.600000, 2467134607.800000, 53616, 650510700, 1760040
7766, 2985886564.600000, 793677026, 10883937.400000, 2975002627.200000, 62886, 791538400, 2075740
8522, 3740594954.400000, 1132600189, 11433341.800000, 3729161612.600000, 73149, 1130105780, 2421260
9278, 4630143387.799999, 1405621998, 13600250.400000, 4616543137.400000, 86958, 1402655900, 2879140
3128, 365609268.600000, 79004703, 1326574.800000, 364282693.800000, 10903, 78671560, 322240
4142, 630256284.600000, 147890882, 2208372.200000, 628047912.400000, 16302, 147371800, 502780
10334, 5922250523.400001, 1863730237, 18649829.600000, 5903600693.800000, 103537, 1860183840, 3442860
