n (number of vertices), total_cycle, total_flops, gbuild_cycle, prop_cycle, gbuild_flops, prop_flops, bel_flops
981, 7069733.600000, 7624890, 158119.100000, 6911614.500000, 3360, 7570200, 51330
4847, 180421063.600000, 195953094, 1395756.800000, 179025306.800000, 20984, 195268040, 664070
5167, 212473906.600000, 229086994, 1649809.900000, 210824096.700000, 24544, 228274420, 788030
1879, 34382152.000000, 36384040, 245917.200000, 34136234.800000, 5330, 36248720, 129990
5879, 286431287.400000, 318952291, 2019031.200000, 284412256.200000, 32481, 317865140, 1054670
6452, 384625154.500000, 436951981, 2767070.800000, 381858083.700000, 41461, 435551440, 1359080
2442, 42715893.800000, 48683420, 296988.700000, 42418905.100000, 7000, 48490720, 185700
7272, 567388023.400000, 652324356, 3300631.400000, 564087392.000000, 53616, 650510700, 1760040
7766, 697510313.400000, 793677026, 4054603.200000, 693455710.200000, 62886, 791538400, 2075740
8522, 1033140251.300000, 1132600189, 5463787.400000, 1027676463.900000, 73149, 1130105780, 2421260
9278, 1237294748.900000, 1405621998, 5705509.600000, 1231589239.300000, 86958, 1402655900, 2879140
3128, 69284841.200000, 79004703, 516255.100000, 68768586.100000, 10903, 78671560, 322240
4142, 129384511.100000, 147890882, 938375.700000, 128446135.400000, 16302, 147371800, 502780
10334, 1667489086.900000, 1863730237, 7028410.100000, 1660460676.800000, 103537, 1860183840, 3442860
