n (number of vertices), total_cycle, total_flops, gbuild_cycle, prop_cycle, bel_cycle, gbuild_flops, prop_flops, bel_flops
981, 1554219.798627, 31059647, 145447.501144, 1380611.896262, 28160.401220, 3360, 31044640, 11647
4847, 22933249.500000, 791388285, 2045290.943182, 20697103.079545, 190855.477273, 20984, 791271840, 95461
5167, 27160846.653333, 925386941, 2526299.986667, 24422167.800000, 212378.866667, 24544, 925252720, 109677
1879, 4050174.790419, 146926959, 356232.271457, 3637060.606786, 56881.912176, 5330, 146896320, 25309
5879, 36314507.678571, 1287775462, 3537343.571429, 32518165.910714, 258998.196429, 32481, 1287602800, 140181
6452, 46976078.093023, 1763516961, 5659387.325581, 41013624.627907, 303066.139535, 41461, 1763302080, 173420
2442, 5891966.250000, 196677374, 526807.712209, 5289203.421512, 75955.116279, 7000, 196636800, 33574
7272, 60729263.852941, 2630326440, 7742772.941176, 52616889.411765, 369601.500000, 53616, 2630054800, 218024
7766, 70797908.533333, 3200112944, 9144639.100000, 61245028.400000, 408241.033333, 62886, 3199797760, 252298
8522, 82667510.633333, 4560098563, 10924473.366667, 71278101.266667, 464936.000000, 73149, 4559734640, 290774
9278, 98600941.000000, 5657820328, 13075298.433333, 84992830.733333, 532811.833333, 86958, 5657392720, 340650
3128, 11076520.158470, 319538775, 951172.666667, 10010574.841530, 114772.650273, 10903, 319476960, 50912
4142, 17565480.008696, 597448936, 1686346.208696, 15722552.243478, 156581.556522, 16302, 597357600, 75034
10334, 118066907.133333, 7496982979, 15614501.000000, 101824963.300000, 627442.833333, 103537, 7496476160, 403282
