n (number of vertices), total_cycle, total_flops, gbuild_cycle, prop_cycle, gbuild_flops, prop_flops, bel_flops
981, 1160153.500000, 8435570, 181676.300000, 978477.200000, 3360, 8335360, 96850
4847, 17403266.800000, 201927414, 2580521.200000, 14822745.600000, 20984, 201048760, 857670
5167, 22807081.300000, 235922134, 3665223.200000, 19141858.100000, 24544, 234904160, 993430
1879, 2763368.200000, 38056480, 451982.600000, 2311385.600000, 5330, 37835640, 215510
5879, 29104440.200000, 327517271, 3990915.500000, 25113524.700000, 32481, 326200560, 1284230
6452, 41903722.400000, 447561901, 5810892.000000, 36092830.400000, 41461, 445915280, 1605160
2442, 4069235.000000, 50806900, 701569.100000, 3367665.900000, 7000, 50513000, 286900
7272, 51522220.400000, 665907856, 7543343.500000, 43978876.900000, 53616, 663819440, 2034800
7766, 64595355.600000, 809638586, 9231948.900000, 55363406.700000, 62886, 807208040, 2367660
8522, 76197257.600000, 1150972009, 10966919.600000, 65230338.000000, 73149, 1148161560, 2737300
9278, 89224913.100000, 1427099818, 12991180.100000, 76233733.000000, 86958, 1423791920, 3220940
3128, 7886204.500000, 82168143, 1365856.700000, 6520347.800000, 10903, 81710680, 446560
4142, 12734784.300000, 152692842, 2192829.800000, 10541954.500000, 16302, 152009040, 667500
10334, 111189887.800000, 1889024677, 15531826.500000, 95658061.300000, 103537, 1885095000, 3826140
