n (number of vertices), total_cycle, total_flops, gbuild_cycle, prop_cycle, bel_cycle, gbuild_flops, prop_flops, bel_flops
981, 2356270.150115, 1590527, 242041.921478, 2068379.872979, 45848.355658, 3360, 1575520, 11647
4847, 30079589.941176, 18447485, 3520849.117647, 26279580.117647, 279160.705882, 20984, 18331040, 95461
5167, 33705592.766667, 21754621, 3960190.733333, 29466575.300000, 278826.733333, 24544, 21620400, 109677
1879, 4658429.816514, 3865199, 479272.866972, 4112089.926606, 67067.022936, 5330, 3834560, 25309
5879, 46987101.534884, 28865062, 5591661.023256, 41032137.209302, 363303.302326, 32481, 28692400, 140181
6452, 54881608.162162, 36922401, 7918680.054054, 46596577.081081, 366351.027027, 41461, 36707520, 173420
2442, 6803973.697987, 5420094, 692458.201342, 6020283.805369, 91231.691275, 7000, 5379520, 33574
7272, 71522318.133333, 47568040, 10657298.533333, 60441073.866667, 423945.733333, 53616, 47296400, 218024
7766, 82884235.533333, 55918064, 12325718.200000, 70065059.266667, 493458.066667, 62886, 55602880, 252298
8522, 103003308.066667, 65092163, 15437448.733333, 86898920.400000, 666938.933333, 73149, 64728240, 290774
9278, 121838391.066667, 77209128, 18452199.000000, 102711231.000000, 674961.066667, 86958, 76781520, 340650
3128, 12726316.490566, 9125015, 1305416.628931, 11286067.509434, 134832.352201, 10903, 9063200, 50912
4142, 20279030.040000, 14071016, 2289558.220000, 17798793.000000, 190678.820000, 16302, 13979680, 75034
10334, 140140496.466667, 92174339, 21822618.133333, 117551604.466667, 766273.866667, 103537, 91667520, 403282
