n (number of vertices), total_cycle, total_flops, gbuild_cycle, prop_cycle, bel_cycle, gbuild_flops, prop_flops, bel_flops, iterations
981, 1726317.180976, 1527270, 103266.188552, 1581634.057239, 41416.935185, 3360, 1515720, 8190, 40
4847, 28827755.774648, 19104738, 2087924.295775, 26345527.788732, 394303.690141, 20984, 18981720, 102034, 40
5167, 34248042.516667, 22623532, 2575191.400000, 31231537.116667, 441314.000000, 24544, 22478200, 120788, 40
1879, 4534801.553097, 3815808, 267763.548673, 4164325.612832, 102712.391593, 5330, 3790040, 20438, 40
5879, 46392194.159091, 30194701, 3695307.795455, 42148901.113636, 547985.250000, 32481, 30001080, 161140, 40
6452, 61072679.058824, 38818949, 6136559.735294, 54304132.882353, 631986.441176, 41461, 38570400, 207088, 40
2442, 9203775.829596, 5431036, 655677.139013, 8329133.856502, 218964.834081, 7000, 5394960, 29076, 40
7272, 83071445.120000, 50184138, 8369747.040000, 73883037.320000, 818660.760000, 53616, 49862880, 267642, 40
7766, 92356083.863636, 59120130, 9771407.454545, 81731793.181818, 852883.227273, 62886, 58742000, 315244, 40
8522, 108047117.368421, 68917639, 10510519.473684, 96573047.578947, 963550.315789, 73149, 68477040, 367450, 40
9278, 123455072.882353, 81881628, 11502491.823529, 110895953.352941, 1056627.705882, 86958, 81358160, 436510, 40
3128, 13156351.987097, 9333763, 873341.251613, 12050082.496774, 232928.238710, 10903, 9272960, 49900, 40
4142, 21561037.410526, 14502990, 1522897.210526, 19707371.621053, 330768.578947, 16302, 14409200, 77488, 40
10334, 147542744.857143, 97851933, 16496162.214286, 129876402.285714, 1170180.357143, 103537, 97226800, 521596, 40
