n (number of vertices), total_cycle, total_flops, gbuild_cycle, prop_cycle, bel_cycle, gbuild_flops, prop_flops, bel_flops, iterations
981, 1624588.214116, 1527270, 98816.996035, 1488380.340206, 37390.877875, 3360, 1515720, 8190, 40
4847, 27574604.864865, 19104738, 2103039.283784, 25137037.013514, 334528.567568, 20984, 18981720, 102034, 40
5167, 32711161.725806, 22623532, 2579760.225806, 29764701.725806, 366699.774194, 24544, 22478200, 120788, 40
1879, 4374821.817987, 3815808, 265365.451820, 4018278.967880, 91177.398287, 5330, 3790040, 20438, 40
5879, 44175844.869565, 30194701, 3624589.913043, 40098815.804348, 452439.152174, 32481, 30001080, 161140, 40
6452, 57260010.611111, 38818949, 6016136.361111, 50707434.194444, 536440.055556, 41461, 38570400, 207088, 40
2442, 6513341.550955, 5431036, 424924.187898, 5958955.388535, 129461.974522, 7000, 5394960, 29076, 40
7272, 72248995.142857, 50184138, 7460736.321429, 64158951.178571, 629307.642857, 53616, 49862880, 267642, 40
7766, 86769697.166667, 59120130, 9627283.125000, 76415113.500000, 727300.541667, 62886, 58742000, 315244, 40
8522, 98156211.428571, 68917639, 9698914.285714, 87682324.000000, 774973.142857, 73149, 68477040, 367450, 40
9278, 115880055.944444, 81881628, 11187742.777778, 103800191.611111, 892121.555556, 86958, 81358160, 436510, 40
3128, 12464687.926829, 9333763, 857267.951220, 11406793.457317, 200626.518293, 10903, 9272960, 49900, 40
4142, 20424191.690000, 14502990, 1486577.830000, 18662424.540000, 275189.320000, 16302, 14409200, 77488, 40
10334, 142212116.200000, 97851933, 16507597.533333, 124693160.600000, 1011358.066667, 103537, 97226800, 521596, 40
