n (number of vertices), total_cycle, total_flops, gbuild_cycle, prop_cycle, gbuild_flops, prop_flops, bel_flops
981, 1514352.400000, 8435570, 292213.200000, 1222139.200000, 3360, 8335360, 96850
4847, 17236302.800000, 201927414, 3665902.200000, 13570400.600000, 20984, 201048760, 857670
5167, 24780124.000000, 235922134, 6808158.600000, 17971965.400000, 24544, 234904160, 993430
1879, 3347444.000000, 38056480, 715744.400000, 2631699.600000, 5330, 37835640, 215510
5879, 29169671.000000, 327517271, 6938677.400000, 22230993.600000, 32481, 326200560, 1284230
6452, 40227756.000000, 447561901, 11715003.800000, 28512752.200000, 41461, 445915280, 1605160
2442, 4521622.800000, 50806900, 939725.600000, 3581897.200000, 7000, 50513000, 286900
7272, 49595726.200000, 665907856, 12215745.600000, 37379980.600000, 53616, 663819440, 2034800
7766, 55445301.800000, 809638586, 12977482.800000, 42467819.000000, 62886, 807208040, 2367660
8522, 70699035.000000, 1150972009, 17215400.000000, 53483635.000000, 73149, 1148161560, 2737300
9278, 83382111.200000, 1427099818, 19609160.600000, 63772950.600000, 86958, 1423791920, 3220940
3128, 8664144.800000, 82168143, 1969518.800000, 6694626.000000, 10903, 81710680, 446560
4142, 13364576.800000, 152692842, 2940004.800000, 10424572.000000, 16302, 152009040, 667500
10334, 92543397.600000, 1889024677, 21080111.000000, 71463286.600000, 103537, 1885095000, 3826140
