n (number of vertices), total_cycle, total_flops, gbuild_cycle, prop_cycle, gbuild_flops, prop_flops, bel_flops
981, 1225912.200000, 8435570, 283567.800000, 942344.400000, 3360, 8335360, 96850
4847, 12090327.200000, 201927414, 4026049.200000, 8064278.000000, 20984, 201048760, 857670
5167, 14685953.000000, 235922134, 5903346.200000, 8782606.800000, 24544, 234904160, 993430
1879, 2458024.200000, 38056480, 695398.800000, 1762625.400000, 5330, 37835640, 215510
5879, 16407664.200000, 327517271, 6020414.200000, 10387250.000000, 32481, 326200560, 1284230
6452, 21347266.000000, 447561901, 8324585.200000, 13022680.800000, 41461, 445915280, 1605160
2442, 4038852.200000, 50806900, 1013791.000000, 3025061.200000, 7000, 50513000, 286900
7272, 26584888.000000, 665907856, 10401845.000000, 16183043.000000, 53616, 663819440, 2034800
7766, 38565001.000000, 809638586, 16646164.200000, 21918836.800000, 62886, 807208040, 2367660
8522, 36268269.200000, 1150972009, 15197056.600000, 21071212.600000, 73149, 1148161560, 2737300
9278, 45068850.000000, 1427099818, 19223707.200000, 25845142.800000, 86958, 1423791920, 3220940
3128, 6477091.200000, 82168143, 1797857.800000, 4679233.400000, 10903, 81710680, 446560
4142, 9884764.200000, 152692842, 3158902.600000, 6725861.600000, 16302, 152009040, 667500
10334, 58847645.200000, 1889024677, 25497323.600000, 33350321.600000, 103537, 1885095000, 3826140
