n (number of vertices), total_cycle, total_flops, gbuild_cycle, prop_cycle, bel_cycle, gbuild_flops, prop_flops, bel_flops
981, 1719297.846284, 31059647, 152309.918074, 1538320.652872, 28667.275338, 3360, 31044640, 11647
4847, 15395638.303030, 791388285, 2122743.295455, 13073198.000000, 199697.007576, 20984, 791271840, 95461
5167, 17026701.369748, 925386941, 2393320.966387, 14424492.243697, 208888.159664, 24544, 925252720, 109677
1879, 3554458.849387, 146926959, 354962.068301, 3148454.844133, 51041.936953, 5330, 146896320, 25309
5879, 23755996.790698, 1287775462, 3491104.325581, 19993478.825581, 271413.639535, 32481, 1287602800, 140181
6452, 35777213.929825, 1763516961, 6277866.701754, 29161755.333333, 337591.894737, 41461, 1763302080, 173420
2442, 4588190.512415, 196677374, 511708.354402, 4006776.458239, 69705.699774, 7000, 196636800, 33574
7272, 38922508.826923, 2630326440, 7629319.403846, 30919811.923077, 373377.500000, 53616, 2630054800, 218024
7766, 45984541.590909, 3200112944, 9266115.909091, 36313586.659091, 404839.022727, 62886, 3199797760, 252298
8522, 58623907.028571, 4560098563, 11468922.142857, 46641506.685714, 513478.200000, 73149, 4559734640, 290774
9278, 63978734.687500, 5657820328, 12877553.812500, 50565756.250000, 535424.625000, 86958, 5657392720, 340650
3128, 7057647.291667, 319538775, 882580.746528, 6074916.923611, 100149.621528, 10903, 319476960, 50912
4142, 10962308.659459, 597448936, 1539410.794595, 9278353.621622, 144544.243243, 16302, 597357600, 75034
10334, 80725231.400000, 7496982979, 15813419.100000, 64284046.066667, 627766.233333, 103537, 7496476160, 403282
