n (number of vertices), total_cycle, total_flops, gbuild_cycle, prop_cycle, bel_cycle, gbuild_flops, prop_flops, bel_flops, iterations
981, 6559190.640777, 4490478, 134062.093851, 6344811.517799, 80317.029126, 3360, 4472100, 15018, 100
4847, 87126381.375000, 50510358, 3147245.000000, 83343936.500000, 635199.875000, 20984, 50358300, 131074, 100
5167, 99788144.428571, 59452642, 3749204.714286, 95312499.571429, 726440.142857, 24544, 59276500, 151598, 100
1879, 13863176.773973, 10796496, 377602.630137, 13323572.630137, 162001.513699, 5330, 10757900, 33266, 100
5879, 138064409.466667, 78674155, 5028214.866667, 132097960.466667, 938234.133333, 32481, 78446100, 195574, 100
6452, 179954632.750000, 100402661, 6399456.833333, 172412694.750000, 1142481.166667, 41461, 100117200, 244000, 100
2442, 21614945.063830, 15056656, 627734.468085, 20774295.468085, 212915.127660, 7000, 15005400, 44256, 100
7272, 234335733.666667, 129141072, 7969271.777778, 224969355.000000, 1397106.888889, 53616, 128778600, 308856, 100
7766, 275329774.125000, 151655718, 9444535.125000, 264210281.125000, 1674957.875000, 62886, 151233800, 359032, 100
8522, 320593038.714286, 176421205, 10720396.428571, 308045343.857143, 1827298.428571, 73149, 175933200, 414856, 100
9278, 367370787.166667, 209097138, 12477230.666667, 352741039.500000, 2152517.000000, 86958, 208522400, 487780, 100
3128, 50302076.365854, 25126651, 1503042.609756, 48450294.463415, 348739.292683, 10903, 25047200, 68548, 100
4142, 69995443.655172, 38612298, 2348165.793103, 67153625.862069, 493652.000000, 16302, 38493800, 102196, 100
10334, 425935961.600000, 249498825, 14636222.000000, 408683081.400000, 2616658.200000, 103537, 248816200, 579088, 100
