n (number of vertices), total_cycle, total_flops, gbuild_cycle, prop_cycle, bel_cycle, gbuild_flops, prop_flops, bel_flops, iterations
981, 2240107.827851, 1807218, 117992.432018, 2076504.664474, 45610.731360, 3360, 1788840, 15018, 40
4847, 20549119.383838, 20295378, 2315081.151515, 17936798.212121, 297240.020202, 20984, 20143320, 131074, 40
5167, 24328090.654762, 23886742, 3209977.773810, 20782802.750000, 335310.130952, 24544, 23710600, 151598, 40
1879, 4770093.633178, 4341756, 317684.446262, 4362867.053738, 89542.133178, 5330, 4303160, 33266, 40
5879, 32577473.920635, 31606495, 4269007.571429, 27904598.603175, 403867.746032, 32481, 31378440, 195574, 40
6452, 40886524.400000, 40332341, 6741048.660000, 33675428.680000, 470047.060000, 41461, 40046880, 244000, 40
2442, 6467860.759494, 6053416, 523317.911392, 5823100.987342, 121441.860759, 7000, 6002160, 44256, 40
7272, 53675562.421053, 51873912, 8747211.684211, 44364534.500000, 563816.236842, 53616, 51511440, 308856, 40
7766, 61795571.575758, 60915438, 10359279.424242, 50812626.272727, 623665.878788, 62886, 60493520, 359032, 40
8522, 73007485.642857, 70861285, 12251354.428571, 60067535.000000, 688596.214286, 73149, 70373280, 414856, 40
9278, 87473408.000000, 83983698, 14704030.250000, 71983236.541667, 786141.208333, 86958, 83408960, 487780, 40
3128, 10046592.866995, 10098331, 994560.408867, 8882416.167488, 169616.290640, 10903, 10018880, 68548, 40
4142, 15619509.488550, 15516018, 1695761.740458, 13685135.312977, 238612.435115, 16302, 15397520, 102196, 40
10334, 105232587.600000, 100209105, 17639698.000000, 86681720.350000, 911169.250000, 103537, 99526480, 579088, 40
