n (number of vertices), total_cycle, total_flops, gbuild_cycle, prop_cycle, bel_cycle, gbuild_flops, prop_flops, bel_flops, iterations
981, 5467184.094851, 4490478, 132257.216802, 5287798.184282, 47128.693767, 3360, 4472100, 15018, 100
4847, 47241462.976744, 50510358, 2669776.558140, 44274702.162791, 296984.255814, 20984, 50358300, 131074, 100
5167, 56063854.527778, 59452642, 3695811.861111, 52041199.555556, 326843.111111, 24544, 59276500, 151598, 100
1879, 11508213.806818, 10796496, 357412.596591, 11055909.073864, 94892.136364, 5330, 10757900, 33266, 100
5879, 71081710.896552, 78674155, 4957391.448276, 65742424.517241, 381894.931034, 32481, 78446100, 195574, 100
6452, 87641019.000000, 100402661, 6248848.521739, 80952425.391304, 439745.086957, 41461, 100117200, 244000, 100
2442, 15178951.947368, 15056656, 563074.075188, 14493237.909774, 122639.962406, 7000, 15005400, 44256, 100
7272, 116875027.333333, 129141072, 8321136.000000, 108016408.777778, 537482.555556, 53616, 128778600, 308856, 100
7766, 133987493.562500, 151655718, 9811002.125000, 123597781.687500, 578709.750000, 62886, 151233800, 359032, 100
8522, 155067124.642857, 176421205, 11491761.571429, 142931279.571429, 644083.500000, 73149, 175933200, 414856, 100
9278, 183653447.818182, 209097138, 13832400.181818, 169131394.545455, 689653.090909, 86958, 208522400, 487780, 100
3128, 23490352.744186, 25126651, 1142748.872093, 22175083.093023, 172520.779070, 10903, 25047200, 68548, 100
4142, 38942856.188679, 38612298, 2129273.132075, 36555518.660377, 258064.396226, 16302, 38493800, 102196, 100
10334, 227071210.666667, 249498825, 16686294.444444, 209595708.555556, 789207.666667, 103537, 248816200, 579088, 100
