n (number of vertices), total_cycle, total_flops, gbuild_cycle, prop_cycle, bel_cycle, gbuild_flops, prop_flops, bel_flops, iterations
981, 2138407.063941, 1807218, 114107.732704, 1982620.522013, 41678.809224, 3360, 1788840, 15018, 40
4847, 20227128.881188, 20295378, 2245440.910891, 17717125.831683, 264562.138614, 20984, 20143320, 131074, 40
5167, 23926592.611765, 23886742, 3166803.435294, 20470108.964706, 289680.211765, 24544, 23710600, 151598, 40
1879, 4743826.825581, 4341756, 318853.369767, 4340487.039535, 84486.416279, 5330, 4303160, 33266, 40
5879, 31168917.276923, 31606495, 4141128.030769, 26680933.415385, 346855.830769, 32481, 31378440, 195574, 40
6452, 40386896.058824, 40332341, 6535702.921569, 33443873.980392, 407319.156863, 41461, 40046880, 244000, 40
2442, 6743463.907285, 6053416, 533745.254967, 6095072.798013, 114645.854305, 7000, 6002160, 44256, 40
7272, 55967448.054054, 51873912, 8909248.702703, 46555696.162162, 502503.189189, 53616, 51511440, 308856, 40
7766, 65453521.354839, 60915438, 10620955.806452, 54255808.967742, 576756.580645, 62886, 60493520, 359032, 40
8522, 74751175.444444, 70861285, 12328170.777778, 61795280.444444, 627724.222222, 73149, 70373280, 414856, 40
9278, 87786431.043478, 83983698, 14602662.086957, 72486700.130435, 697068.826087, 86958, 83408960, 487780, 40
3128, 10062937.851485, 10098331, 979749.039604, 8928488.950495, 154699.861386, 10903, 10018880, 68548, 40
4142, 15661022.453846, 15516018, 1692075.546154, 13753401.561538, 215545.346154, 16302, 15397520, 102196, 40
10334, 105287751.250000, 100209105, 17680194.750000, 86832027.400000, 775529.100000, 103537, 99526480, 579088, 40
