n (number of vertices), total_cycle, total_flops, gbuild_cycle, prop_cycle, bel_cycle, gbuild_flops, prop_flops, bel_flops
981, 1241899.838611, 30457335, 104291.018270, 1114110.490865, 23498.329476, 3360, 30446880, 7095
4847, 16161279.960317, 783631645, 1773700.857143, 14124615.373016, 262963.730159, 20984, 783534560, 76101
5167, 19443824.780952, 916156801, 2596196.142857, 16553823.485714, 293805.152381, 24544, 916043120, 89137
1879, 3087411.261725, 145461767, 265577.393343, 2761872.518911, 59961.349470, 5330, 145439680, 16757
5879, 25810278.518987, 1275593786, 3571546.873418, 21874914.987342, 363816.658228, 32481, 1275444080, 117225
6452, 32394614.285714, 1747574273, 4546689.666667, 27419232.031746, 428692.587302, 41461, 1747384000, 148812
2442, 4335376.849257, 194638454, 404045.798301, 3842504.577495, 88826.473461, 7000, 194608000, 23454
7272, 41422625.040816, 2609036244, 5917993.142857, 34993469.918367, 511161.979592, 53616, 2608792080, 190548
7766, 57911139.457143, 3174431912, 9326068.428571, 47959276.571429, 625794.457143, 62886, 3174145920, 223106
8522, 65778212.741935, 4530099599, 9808073.193548, 55262338.064516, 707801.483871, 73149, 4529767280, 259170
9278, 70934010.333333, 5622162468, 10600038.800000, 59584642.066667, 749329.466667, 86958, 5621769040, 306470
3128, 7663708.706767, 315899463, 767352.432331, 6752262.424812, 144093.849624, 10903, 315850080, 38480
4142, 12209069.652695, 591407504, 1337736.305389, 10663997.479042, 207335.868263, 16302, 591332640, 58562
10334, 90612633.100000, 7454561931, 15885771.300000, 73860747.933333, 866113.866667, 103537, 7454093440, 364954
