n (number of vertices), total_cycle, total_flops, gbuild_cycle, prop_cycle, gbuild_flops, prop_flops, bel_flops
981, 1675358.600000, 7624890, 196620.800000, 1478737.800000, 3360, 7570200, 51330
4847, 16881885.800000, 195953094, 2936218.400000, 13945667.400000, 20984, 195268040, 664070
5167, 19646468.400000, 229086994, 3464151.200000, 16182317.200000, 24544, 228274420, 788030
1879, 3538184.600000, 36384040, 475709.000000, 3062475.600000, 5330, 36248720, 129990
5879, 25913110.000000, 318952291, 5266940.000000, 20646170.000000, 32481, 317865140, 1054670
6452, 33760187.200000, 436951981, 6891811.400000, 26868375.800000, 41461, 435551440, 1359080
2442, 4913860.600000, 48683420, 685132.400000, 4228728.200000, 7000, 48490720, 185700
7272, 46458615.800000, 652324356, 9607383.400000, 36851232.400000, 53616, 650510700, 1760040
7766, 51649892.000000, 793677026, 11211890.600000, 40438001.400000, 62886, 791538400, 2075740
8522, 64493352.600000, 1132600189, 13274665.000000, 51218687.600000, 73149, 1130105780, 2421260
9278, 77675092.800000, 1405621998, 15646744.400000, 62028348.400000, 86958, 1402655900, 2879140
3128, 8723957.400000, 79004703, 1421731.200000, 7302226.200000, 10903, 78671560, 322240
4142, 13080604.200000, 147890882, 2400498.400000, 10680105.800000, 16302, 147371800, 502780
10334, 89249173.600000, 1863730237, 19644273.000000, 69604900.600000, 103537, 1860183840, 3442860
