n (number of vertices), total_cycle, total_flops, gbuild_cycle, prop_cycle, bel_cycle, gbuild_flops, prop_flops, bel_flops, iterations
981, 5635823.458333, 3800850, 116378.480556, 5442955.613889, 76489.363889, 3360, 3789300, 8190, 100
4847, 88796108.130435, 47577318, 2696822.782609, 85483289.478261, 615995.869565, 20984, 47454300, 102034, 100
5167, 100977130.700000, 56340832, 2592465.050000, 97664779.250000, 719886.400000, 24544, 56195500, 120788, 100
1879, 12986593.243590, 9500868, 293138.500000, 12537258.371795, 156196.371795, 5330, 9475100, 20438, 100
5879, 135124596.533333, 75196321, 3787751.600000, 130402864.533333, 933980.400000, 32481, 75002700, 161140, 100
6452, 171387969.916667, 96674549, 5669951.750000, 164571750.750000, 1146267.416667, 41461, 96426000, 207088, 100
2442, 21899660.913978, 13523476, 472956.311828, 21221718.677419, 204985.924731, 7000, 13487400, 29076, 100
7272, 228870421.444444, 124978458, 6398288.111111, 221079573.000000, 1392560.333333, 53616, 124657200, 267642, 100
7766, 271233354.000000, 147233130, 8583959.125000, 261058376.125000, 1591018.750000, 62886, 146855000, 315244, 100
8522, 316069880.142857, 171633199, 8592544.000000, 305636630.285714, 1840705.857143, 73149, 171192600, 367450, 100
9278, 354648257.166667, 203918868, 9993797.000000, 342549930.500000, 2104529.666667, 86958, 203395400, 436510, 100
3128, 53284084.131579, 23243203, 1107532.552632, 51835168.236842, 341383.342105, 10903, 23182400, 49900, 100
4142, 72580887.428571, 36116790, 1937416.714286, 70150142.928571, 493327.785714, 16302, 36023000, 77488, 100
10334, 414369104.800000, 243692133, 13892085.000000, 398043169.600000, 2433850.200000, 103537, 243067000, 521596, 100
