n (number of vertices), total_cycle, total_flops, gbuild_cycle, prop_cycle, bel_cycle, gbuild_flops, prop_flops, bel_flops, iterations
981, 3573059.056437, 3800850, 102333.587302, 3427611.107584, 43114.361552, 3360, 3789300, 8190, 100
4847, 42287838.041667, 47577318, 2222176.229167, 39677271.770833, 388390.041667, 20984, 47454300, 102034, 100
5167, 48817938.738095, 56340832, 2535691.571429, 45849457.333333, 432789.833333, 24544, 56195500, 120788, 100
1879, 8628143.251064, 9500868, 276184.948936, 8246036.897872, 105921.404255, 5330, 9475100, 20438, 100
5879, 65664279.580645, 75196321, 3646072.774194, 61501018.580645, 517188.225806, 32481, 75002700, 161140, 100
6452, 79784150.692308, 96674549, 5740169.884615, 73458152.769231, 585828.038462, 41461, 96426000, 207088, 100
2442, 12556161.808642, 13523476, 451292.413580, 11952230.543210, 152638.851852, 7000, 13487400, 29076, 100
7272, 103242894.700000, 124978458, 7260767.300000, 95293377.450000, 688749.950000, 53616, 124657200, 267642, 100
7766, 119763744.647059, 147233130, 9159437.470588, 109846505.941176, 757801.235294, 62886, 146855000, 315244, 100
8522, 140124558.400000, 171633199, 8813874.400000, 130437221.200000, 873462.800000, 73149, 171192600, 367450, 100
9278, 164749867.538462, 203918868, 10713567.538462, 153086839.230769, 949460.769231, 86958, 203395400, 436510, 100
3128, 23055270.067416, 23243203, 970535.460674, 21844109.820225, 240624.786517, 10903, 23182400, 49900, 100
4142, 35188550.137931, 36116790, 1715805.465517, 33141477.051724, 331267.620690, 16302, 36023000, 77488, 100
10334, 202434676.800000, 243692133, 15836646.300000, 185577335.000000, 1020695.500000, 103537, 243067000, 521596, 100
