n (number of vertices), total_cycle, total_flops, gbuild_cycle, prop_cycle, bel_cycle, gbuild_flops, prop_flops, bel_flops, iterations
981, 1493894.418791, 1527270, 101823.231610, 1355065.665696, 37005.521486, 3360, 1515720, 8190, 40
4847, 18752293.348624, 19104738, 1987541.119266, 16416524.504587, 348227.724771, 20984, 18981720, 102034, 40
5167, 21957740.150538, 22623532, 2514999.043011, 19056863.354839, 385877.752688, 24544, 22478200, 120788, 40
1879, 3663270.501786, 3815808, 260414.880357, 3314835.326786, 88020.294643, 5330, 3790040, 20438, 40
5879, 28657077.577465, 30194701, 3553593.239437, 24629842.338028, 473642.000000, 32481, 30001080, 161140, 40
6452, 38314121.924528, 38818949, 6014685.962264, 31735699.622642, 563736.339623, 41461, 38570400, 207088, 40
2442, 5342390.966146, 5431036, 420422.640625, 4797790.065104, 124178.260417, 7000, 5394960, 29076, 40
7272, 47824046.837209, 50184138, 7629768.720930, 39520170.674419, 674107.441860, 53616, 49862880, 267642, 40
7766, 57064061.722222, 59120130, 9489583.722222, 46850387.194444, 724090.805556, 62886, 58742000, 315244, 40
8522, 65926760.419355, 68917639, 10274382.290323, 54818915.129032, 833463.000000, 73149, 68477040, 367450, 40
9278, 78385791.153846, 81881628, 11960285.346154, 65489647.038462, 935858.769231, 86958, 81358160, 436510, 40
3128, 9130836.790179, 9333763, 822983.357143, 8110297.691964, 197555.741071, 10903, 9272960, 49900, 40
4142, 14379263.309859, 14502990, 1428643.323944, 12667026.464789, 283593.521127, 16302, 14409200, 77488, 40
10334, 96000837.772727, 97851933, 16348681.318182, 78614813.000000, 1037343.454545, 103537, 97226800, 521596, 40
