n (number of vertices), total_cycle, total_flops, gbuild_cycle, prop_cycle, gbuild_flops, prop_flops, bel_flops
981, 2167421.800000, 7624890, 160551.000000, 2006870.800000, 3360, 7570200, 51330
4847, 20073314.600000, 195953094, 3072800.800000, 17000513.800000, 20984, 195268040, 664070
5167, 23028004.600000, 229086994, 3419508.200000, 19608496.400000, 24544, 228274420, 788030
1879, 4900040.000000, 36384040, 478348.600000, 4421691.400000, 5330, 36248720, 129990
5879, 29195195.600000, 318952291, 4690723.600000, 24504472.000000, 32481, 317865140, 1054670
6452, 37841906.200000, 436951981, 6693499.000000, 31148407.200000, 41461, 435551440, 1359080
2442, 6700952.400000, 48683420, 681378.800000, 6019573.600000, 7000, 48490720, 185700
7272, 50800167.200000, 652324356, 9163346.600000, 41636820.600000, 53616, 650510700, 1760040
7766, 58636963.800000, 793677026, 11774126.600000, 46862837.200000, 62886, 791538400, 2075740
8522, 69710046.800000, 1132600189, 13141360.600000, 56568686.200000, 73149, 1130105780, 2421260
9278, 83199615.800000, 1405621998, 16374697.600000, 66824918.200000, 86958, 1402655900, 2879140
3128, 10762780.200000, 79004703, 1463211.400000, 9299568.800000, 10903, 78671560, 322240
4142, 15648534.200000, 147890882, 2353962.400000, 13294571.800000, 16302, 147371800, 502780
10334, 93183837.600000, 1863730237, 18756301.400000, 74427536.200000, 103537, 1860183840, 3442860
