n (number of vertices), total_cycle, total_flops, gbuild_cycle, prop_cycle, gbuild_flops, prop_flops, bel_flops
981, 1932865.800000, 7624890, 190332.000000, 1742533.800000, 3360, 7570200, 51330
4847, 15329856.400000, 195953094, 3122266.800000, 12207589.600000, 20984, 195268040, 664070
5167, 17113995.800000, 229086994, 3947400.000000, 13166595.800000, 24544, 228274420, 788030
1879, 4148745.400000, 36384040, 468174.600000, 3680570.800000, 5330, 36248720, 129990
5879, 21721848.800000, 318952291, 5413985.800000, 16307863.000000, 32481, 317865140, 1054670
6452, 25738697.200000, 436951981, 7132306.200000, 18606391.000000, 41461, 435551440, 1359080
2442, 5874509.600000, 48683420, 806460.600000, 5068049.000000, 7000, 48490720, 185700
7272, 32513302.000000, 652324356, 9863097.800000, 22650204.200000, 53616, 650510700, 1760040
7766, 37054152.200000, 793677026, 11828526.800000, 25225625.400000, 62886, 791538400, 2075740
8522, 41622228.200000, 1132600189, 12864683.200000, 28757545.000000, 73149, 1130105780, 2421260
9278, 47650507.800000, 1405621998, 15003050.200000, 32647457.600000, 86958, 1402655900, 2879140
3128, 8591221.200000, 79004703, 1525665.000000, 7065556.200000, 10903, 78671560, 322240
4142, 12278020.400000, 147890882, 2548806.200000, 9729214.200000, 16302, 147371800, 502780
10334, 58799039.000000, 1863730237, 20045411.000000, 38753628.000000, 103537, 1860183840, 3442860
