n (number of vertices), total_cycle, total_flops, gbuild_cycle, prop_cycle, bel_cycle, gbuild_flops, prop_flops, bel_flops
981, 1222375.263444, 30457335, 57627.854985, 1150992.677946, 13754.730514, 3360, 30446880, 7095
4847, 19747599.873786, 783631645, 1259704.582524, 18308772.194175, 179123.097087, 20984, 783534560, 76101
5167, 23377400.643678, 916156801, 1463926.873563, 21713958.459770, 199515.310345, 24544, 916043120, 89137
1879, 3263944.768489, 145461767, 168358.159164, 3049664.956592, 45921.652733, 5330, 145439680, 16757
5879, 31424645.200000, 1275593786, 2134069.800000, 29049392.015385, 241183.384615, 32481, 1275444080, 117225
6452, 40343137.520000, 1747574273, 3243336.880000, 36818193.760000, 281606.880000, 41461, 1747384000, 148812
2442, 4878987.586538, 194638454, 265919.480769, 4543284.449519, 69783.656250, 7000, 194608000, 23454
7272, 50957364.425000, 2609036244, 3814628.975000, 46813439.200000, 329296.250000, 53616, 2608792080, 190548
7766, 59508871.852941, 3174431912, 4583869.882353, 54561501.264706, 363500.705882, 62886, 3174145920, 223106
8522, 69894653.633333, 4530099599, 6159831.100000, 63326978.000000, 407844.533333, 73149, 4529767280, 259170
9278, 81984851.300000, 5622162468, 6958865.133333, 74572163.766667, 453822.400000, 86958, 5621769040, 306470
3128, 9017574.320000, 315899463, 493725.213333, 8418062.715556, 105786.391111, 10903, 315850080, 38480
4142, 14811768.569343, 591407504, 946723.423358, 13717074.445255, 147970.700730, 16302, 591332640, 58562
10334, 100245576.333333, 7454561931, 8383279.333333, 91325025.066667, 537271.933333, 103537, 7454093440, 364954
