n (number of vertices), total_cycle, total_flops, gbuild_cycle, prop_cycle, bel_cycle, gbuild_flops, prop_flops, bel_flops, iterations
981, 5599178.691667, 3800850, 93730.836111, 5462556.347222, 42891.508333, 3360, 3789300, 8190, 100
4847, 78294045.000000, 47577318, 1752355.461538, 76081592.730769, 460096.807692, 20984, 47454300, 102034, 100
5167, 95330193.454545, 56340832, 2306041.000000, 92476828.909091, 547323.545455, 24544, 56195500, 120788, 100
1879, 12674194.937500, 9500868, 235335.443750, 12334491.031250, 104368.462500, 5330, 9475100, 20438, 100
5879, 121918856.705882, 75196321, 3198771.294118, 118013630.529412, 706454.882353, 32481, 75002700, 161140, 100
6452, 154382346.214286, 96674549, 4191215.500000, 149304085.000000, 887045.714286, 41461, 96426000, 207088, 100
2442, 20263536.660000, 13523476, 391345.590000, 19716809.950000, 155381.120000, 7000, 13487400, 29076, 100
7272, 210223238.100000, 124978458, 5122014.800000, 203990530.300000, 1110693.000000, 53616, 124657200, 267642, 100
7766, 240570723.555556, 147233130, 6448777.000000, 232816720.444444, 1305226.111111, 62886, 146855000, 315244, 100
8522, 289449314.142857, 171633199, 7749488.571429, 280258766.571429, 1441059.000000, 73149, 171192600, 367450, 100
9278, 324030179.714286, 203918868, 8238330.428571, 314021241.714286, 1770607.571429, 86958, 203395400, 436510, 100
3128, 43316086.000000, 23243203, 724135.212766, 42334459.638298, 257491.148936, 10903, 23182400, 49900, 100
4142, 60569190.147059, 36116790, 1276177.058824, 58922419.147059, 370593.941176, 16302, 36023000, 77488, 100
10334, 377016145.333333, 243692133, 10451927.166667, 364528808.000000, 2035410.166667, 103537, 243067000, 521596, 100
