n (number of vertices), total_cycle, total_flops, gbuild_cycle, prop_cycle, bel_cycle, gbuild_flops, prop_flops, bel_flops, iterations
981, 1229775.861734, 1527270, 81293.056398, 1131958.705882, 16524.099454, 3360, 1515720, 8190, 40
4847, 15648459.892308, 19104738, 1624342.569231, 13829740.000000, 194377.323077, 20984, 18981720, 102034, 40
5167, 18205931.767857, 22623532, 2001506.232143, 15986636.357143, 217789.178571, 24544, 22478200, 120788, 40
1879, 3147036.004644, 3815808, 221263.863777, 2876025.244582, 49746.896285, 5330, 3790040, 20438, 40
5879, 24975462.777778, 30194701, 3024700.950617, 21680302.814815, 270459.012346, 32481, 30001080, 161140, 40
6452, 33397122.967213, 38818949, 4582806.311475, 28476303.311475, 338013.344262, 41461, 38570400, 207088, 40
2442, 4767368.618267, 5431036, 365637.147541, 4323941.299766, 77790.170960, 7000, 5394960, 29076, 40
7272, 40623632.740000, 50184138, 5763377.320000, 34468090.780000, 392164.640000, 53616, 49862880, 267642, 40
7766, 49760241.829268, 59120130, 7529378.048780, 41780423.317073, 450440.463415, 62886, 58742000, 315244, 40
8522, 52234458.743590, 68917639, 8125542.230769, 43643534.512821, 465382.000000, 73149, 68477040, 367450, 40
9278, 62375384.333333, 81881628, 8800764.515152, 53039243.393939, 535376.424242, 86958, 81358160, 436510, 40
3128, 7835873.830769, 9333763, 665255.261538, 7053421.653846, 117196.915385, 10903, 9272960, 49900, 40
4142, 12383459.621951, 14502990, 1274059.823171, 10943426.591463, 165973.207317, 16302, 14409200, 77488, 40
10334, 73963668.821429, 97851933, 11922320.214286, 61429708.071429, 611640.535714, 103537, 97226800, 521596, 40
