n (number of vertices), total_cycle, total_flops, gbuild_cycle, prop_cycle, bel_cycle, gbuild_flops, prop_flops, bel_flops, iterations
981, 3037052.815038, 3800850, 91561.873684, 2921836.021053, 23654.920301, 3360, 3789300, 8190, 100
4847, 37667760.518519, 47577318, 1795835.611111, 35645920.462963, 226004.444444, 20984, 47454300, 102034, 100
5167, 44202988.260870, 56340832, 2411786.521739, 41529232.086957, 261969.652174, 24544, 56195500, 120788, 100
1879, 7351206.530909, 9500868, 229352.258182, 7061674.309091, 60179.963636, 5330, 9475100, 20438, 100
5879, 54624531.108108, 75196321, 3143616.432432, 51191505.513514, 289409.162162, 32481, 75002700, 161140, 100
6452, 67350264.033333, 96674549, 4113647.333333, 62898685.333333, 337931.366667, 41461, 96426000, 207088, 100
2442, 10700475.195767, 13523476, 360555.719577, 10252554.544974, 87364.931217, 7000, 13487400, 29076, 100
7272, 84559967.500000, 124978458, 5342936.333333, 78809354.416667, 407676.750000, 53616, 124657200, 267642, 100
7766, 98288784.095238, 147233130, 6735040.142857, 91123200.142857, 430543.809524, 62886, 146855000, 315244, 100
8522, 113001671.888889, 171633199, 7895937.222222, 104619921.500000, 485813.166667, 73149, 171192600, 367450, 100
9278, 129043571.375000, 203918868, 8312839.000000, 120171022.500000, 559709.875000, 86958, 203395400, 436510, 100
3128, 18255831.306306, 23243203, 689991.711712, 17430349.549550, 135490.045045, 10903, 23182400, 49900, 100
4142, 27895248.260274, 36116790, 1269869.397260, 26440887.164384, 184491.698630, 16302, 36023000, 77488, 100
10334, 151366713.071429, 243692133, 11069854.142857, 139701869.071429, 594989.857143, 103537, 243067000, 521596, 100
