n (number of vertices), total_cycle, total_flops, gbuild_cycle, prop_cycle, bel_cycle, gbuild_flops, prop_flops, bel_flops, iterations
981, 1255845.954236, 1527270, 74871.513296, 1162203.845393, 18770.595547, 3360, 1515720, 8190, 40
4847, 16064086.874016, 19104738, 1620367.212598, 14230743.212598, 212976.448819, 20984, 18981720, 102034, 40
5167, 18892376.546296, 22623532, 2028277.324074, 16626477.990741, 237621.231481, 24544, 22478200, 120788, 40
1879, 3231508.182540, 3815808, 211986.592063, 2963959.871429, 55561.719048, 5330, 3790040, 20438, 40
5879, 27439922.013514, 30194701, 3235087.270270, 23890666.000000, 314168.743243, 32481, 30001080, 161140, 40
6452, 31310599.507692, 38818949, 4161246.723077, 26810785.969231, 338566.815385, 41461, 38570400, 207088, 40
2442, 4834268.303318, 5431036, 356967.632701, 4392146.390995, 85154.279621, 7000, 5394960, 29076, 40
7272, 40555650.880000, 50184138, 5670956.020000, 34459518.540000, 425176.320000, 53616, 49862880, 267642, 40
7766, 46043393.750000, 59120130, 6817253.431818, 38783080.568182, 443059.750000, 62886, 58742000, 315244, 40
8522, 53347830.447368, 68917639, 8254673.394737, 44595116.973684, 498040.078947, 73149, 68477040, 367450, 40
9278, 61717062.090909, 81881628, 8791353.545455, 52364980.848485, 560727.696970, 86958, 81358160, 436510, 40
3128, 8078045.841270, 9333763, 665646.765873, 7282471.861111, 129927.214286, 10903, 9272960, 49900, 40
4142, 13579654.526667, 14502990, 1316151.120000, 12074649.873333, 188853.533333, 16302, 14409200, 77488, 40
10334, 107216838.421053, 97851933, 15978063.894737, 90403106.578947, 835667.947368, 103537, 97226800, 521596, 40
