n (number of vertices), total_cycle, total_flops, gbuild_cycle, prop_cycle, bel_cycle, gbuild_flops, prop_flops, bel_flops, iterations
981, 5635388.857542, 3800850, 93606.371508, 5498910.472067, 42872.013966, 3360, 3789300, 8190, 100
4847, 77489222.384615, 47577318, 1722813.576923, 75313400.961538, 453007.846154, 20984, 47454300, 102034, 100
5167, 93429090.000000, 56340832, 2240089.090909, 90651411.636364, 537589.272727, 24544, 56195500, 120788, 100
1879, 12919967.273885, 9500868, 238440.152866, 12577273.375796, 104253.745223, 5330, 9475100, 20438, 100
5879, 118853111.764706, 75196321, 3102340.529412, 115055705.000000, 695066.235294, 32481, 75002700, 161140, 100
6452, 152015035.571429, 96674549, 4081109.857143, 147072111.357143, 861814.357143, 41461, 96426000, 207088, 100
2442, 19969767.376238, 13523476, 376972.495050, 19447931.544554, 144863.336634, 7000, 13487400, 29076, 100
7272, 197332340.454545, 124978458, 4954040.000000, 191260070.909091, 1118229.545455, 53616, 124657200, 267642, 100
7766, 234186120.888889, 147233130, 6371746.666667, 226537251.555556, 1277122.666667, 62886, 146855000, 315244, 100
8522, 271418570.500000, 171633199, 7452978.125000, 262507595.625000, 1457996.750000, 73149, 171192600, 367450, 100
9278, 312339370.142857, 203918868, 7779542.142857, 302842751.571429, 1717076.428571, 86958, 203395400, 436510, 100
3128, 43219371.702128, 23243203, 719800.553191, 42240893.744681, 258677.404255, 10903, 23182400, 49900, 100
4142, 61610331.424242, 36116790, 1308811.757576, 59926750.424242, 374769.242424, 16302, 36023000, 77488, 100
10334, 380668066.166667, 243692133, 10315237.166667, 368329313.000000, 2023516.000000, 103537, 243067000, 521596, 100
