n (number of vertices), total_cycle, total_flops, gbuild_cycle, prop_cycle, bel_cycle, gbuild_flops, prop_flops, bel_flops, iterations
981, 1237116.089689, 1527270, 80013.801098, 1140778.606467, 16323.682123, 3360, 1515720, 8190, 40
4847, 15945172.732283, 19104738, 1639607.692913, 14112662.433071, 192902.606299, 20984, 18981720, 102034, 40
5167, 18652932.119266, 22623532, 2040132.009174, 16388615.394495, 224184.715596, 24544, 22478200, 120788, 40
1879, 3535135.130435, 3815808, 243773.050435, 3236880.450435, 54481.629565, 5330, 3790040, 20438, 40
5879, 24519706.614458, 30194701, 2978053.795181, 21263946.265060, 277706.554217, 32481, 30001080, 161140, 40
6452, 30987934.242424, 38818949, 4213964.030303, 26459425.757576, 314544.454545, 41461, 38570400, 207088, 40
2442, 4694661.043779, 5431036, 358089.253456, 4261312.463134, 75259.327189, 7000, 5394960, 29076, 40
7272, 57051195.000000, 50184138, 7403904.583333, 49135171.500000, 512118.916667, 53616, 49862880, 267642, 40
7766, 63323183.593750, 59120130, 9129348.406250, 53632197.468750, 561637.718750, 62886, 58742000, 315244, 40
8522, 54696932.189189, 68917639, 8527248.243243, 45688068.054054, 481615.891892, 73149, 68477040, 367450, 40
9278, 61284228.666667, 81881628, 8677059.787879, 52072915.939394, 534252.939394, 86958, 81358160, 436510, 40
3128, 8037075.090909, 9333763, 679804.193676, 7238449.723320, 118821.173913, 10903, 9272960, 49900, 40
4142, 12572164.240741, 14502990, 1272491.987654, 11134331.487654, 165340.765432, 16302, 14409200, 77488, 40
10334, 75076383.703704, 97851933, 12229093.740741, 62238512.074074, 608777.888889, 103537, 97226800, 521596, 40
