n (number of vertices), total_cycle, total_flops, gbuild_cycle, prop_cycle, bel_cycle, gbuild_flops, prop_flops, bel_flops, iterations
981, 3027830.450450, 3800850, 85674.042042, 2920701.803303, 21454.605105, 3360, 3789300, 8190, 100
4847, 36484406.678571, 47577318, 1731994.285714, 34535704.000000, 216708.392857, 20984, 47454300, 102034, 100
5167, 44628841.195652, 56340832, 2332290.630435, 42048939.630435, 247610.934783, 24544, 56195500, 120788, 100
1879, 7717882.370229, 9500868, 227189.293893, 7429985.744275, 60707.332061, 5330, 9475100, 20438, 100
5879, 54830849.675676, 75196321, 3101594.810811, 51440192.189189, 289062.675676, 32481, 75002700, 161140, 100
6452, 68209127.033333, 96674549, 4211855.733333, 63662317.466667, 334953.833333, 41461, 96426000, 207088, 100
2442, 11040939.142077, 13523476, 358375.715847, 10595313.366120, 87250.060109, 7000, 13487400, 29076, 100
7272, 86452414.208333, 124978458, 5443862.416667, 80611343.041667, 397208.750000, 53616, 124657200, 267642, 100
7766, 98327666.380952, 147233130, 6631066.952381, 91258255.857143, 438343.571429, 62886, 146855000, 315244, 100
8522, 118656340.529412, 171633199, 7977820.352941, 110186415.588235, 492104.588235, 73149, 171192600, 367450, 100
9278, 128562760.312500, 203918868, 8222369.062500, 119811909.937500, 528481.312500, 86958, 203395400, 436510, 100
3128, 18456257.390909, 23243203, 685863.936364, 17635410.436364, 134983.018182, 10903, 23182400, 49900, 100
4142, 28148528.888889, 36116790, 1240332.013889, 26723433.500000, 184763.375000, 16302, 36023000, 77488, 100
10334, 153805994.857143, 243692133, 11513011.928571, 141690065.571429, 602917.357143, 103537, 243067000, 521596, 100
