n (number of vertices), total_cycle, total_flops, gbuild_cycle, prop_cycle, bel_cycle, gbuild_flops, prop_flops, bel_flops, iterations
981, 1266891.028678, 1527270, 78857.034289, 1168134.693890, 19899.300499, 3360, 1515720, 8190, 40
4847, 16857021.628099, 19104738, 1691465.256198, 14943490.553719, 222065.818182, 20984, 18981720, 102034, 40
5167, 19157037.254717, 22623532, 2045271.273585, 16872422.481132, 239343.500000, 24544, 22478200, 120788, 40
1879, 3412179.773869, 3815808, 225335.288107, 3127064.058626, 59780.427136, 5330, 3790040, 20438, 40
5879, 25797572.886076, 30194701, 3055107.569620, 22444737.481013, 297727.835443, 32481, 30001080, 161140, 40
6452, 31546421.230769, 38818949, 4144259.892308, 27066394.200000, 335767.138462, 41461, 38570400, 207088, 40
2442, 4662194.421053, 5431036, 347038.848970, 4231445.567506, 83710.004577, 7000, 5394960, 29076, 40
7272, 40866430.340000, 50184138, 5723197.880000, 34738491.040000, 404741.420000, 53616, 49862880, 267642, 40
7766, 47421034.534884, 59120130, 7036518.023256, 39928607.860465, 455908.651163, 62886, 58742000, 315244, 40
8522, 58385118.314286, 68917639, 8845267.028571, 48974747.457143, 565103.828571, 73149, 68477040, 367450, 40
9278, 62263681.030303, 81881628, 8754868.242424, 52941901.030303, 566911.757576, 86958, 81358160, 436510, 40
3128, 8251973.182186, 9333763, 671338.635628, 7448178.874494, 132455.672065, 10903, 9272960, 49900, 40
4142, 12974749.847134, 14502990, 1273425.509554, 11519065.738854, 182258.598726, 16302, 14409200, 77488, 40
10334, 80899658.520000, 97851933, 12783781.880000, 67419689.560000, 696187.080000, 103537, 97226800, 521596, 40
