n (number of vertices), total_cycle, total_flops, gbuild_cycle, prop_cycle, gbuild_flops, prop_flops, bel_flops
981, 156218960.600000, 7624890, 174799.800000, 156044160.800000, 3360, 7570200, 51330
4847, 2092464644.200000, 195953094, 2002283.800000, 2090462360.400000, 20984, 195268040, 664070
5167, 2380638615.200000, 229086994, 2168118.400000, 2378470496.800000, 24544, 228274420, 788030
1879, 405467175.400000, 36384040, 326293.800000, 405140881.600000, 5330, 36248720, 129990
5879, 3242200481.000000, 318952291, 2977201.400000, 3239223279.600000, 32481, 317865140, 1054670
6452, 4286276837.200000, 436951981, 3882753.000000, 4282394084.200000, 41461, 435551440, 1359080
2442, 537337828.000000, 48683420, 453811.200000, 536884016.800000, 7000, 48490720, 185700
7272, 6224191043.200001, 652324356, 5065546.600000, 6219125496.600000, 53616, 650510700, 1760040
7766, 7939968428.000000, 793677026, 6423038.200000, 7933545389.800000, 62886, 791538400, 2075740
8522, 9606294389.800001, 1132600189, 7200153.200000, 9599094236.600000, 73149, 1130105780, 2421260
9278, 11915223044.200001, 1405621998, 8826476.000000, 11906396568.200001, 86958, 1402655900, 2879140
3128, 881772355.200000, 79004703, 775054.600000, 880997300.600000, 10903, 78671560, 322240
4142, 1537993222.400000, 147890882, 1365948.400000, 1536627274.000000, 16302, 147371800, 502780
10334, 15701879981.800001, 1863730237, 10919242.200000, 15690960739.600000, 103537, 1860183840, 3442860
