n (number of vertices), total_cycle, total_flops, gbuild_cycle, prop_cycle, gbuild_flops, prop_flops, bel_flops
981, 27013375.000000, 7624890, 139431.800000, 26873943.200000, 3360, 7570200, 51330
4847, 694643333.600000, 195953094, 1825504.400000, 692817829.200000, 20984, 195268040, 664070
5167, 849838325.800000, 229086994, 2216964.800000, 847621361.000000, 24544, 228274420, 788030
1879, 137515539.600000, 36384040, 312690.600000, 137202849.000000, 5330, 36248720, 129990
5879, 1138192504.800000, 318952291, 2874398.200000, 1135318106.600000, 32481, 317865140, 1054670
6452, 1602665814.000000, 436951981, 4109307.600000, 1598556506.400000, 41461, 435551440, 1359080
2442, 178727832.600000, 48683420, 479555.400000, 178248277.200000, 7000, 48490720, 185700
7272, 2317250137.200000, 652324356, 4990595.800000, 2312259541.400000, 53616, 650510700, 1760040
7766, 2760161715.400000, 793677026, 5796453.200000, 2754365262.200000, 62886, 791538400, 2075740
8522, 3951171132.800000, 1132600189, 6780799.200000, 3944390333.600000, 73149, 1130105780, 2421260
9278, 4951610909.000000, 1405621998, 8188999.200000, 4943421909.800000, 86958, 1402655900, 2879140
3128, 272946701.000000, 79004703, 755029.200000, 272191671.800000, 10903, 78671560, 322240
4142, 515049992.000000, 147890882, 1265180.800000, 513784811.200000, 16302, 147371800, 502780
10334, 6971277373.600000, 1863730237, 10668068.200000, 6960609305.400001, 103537, 1860183840, 3442860
