n (number of vertices), total_cycle, total_flops, gbuild_cycle, prop_cycle, gbuild_flops, prop_flops, bel_flops
981, 27822265.600000, 7624890, 129302.200000, 27692963.400000, 3360, 7570200, 51330
4847, 711119855.800000, 195953094, 1847762.800000, 709272093.000000, 20984, 195268040, 664070
5167, 840095693.600000, 229086994, 2309845.000000, 837785848.600000, 24544, 228274420, 788030
1879, 131958861.600000, 36384040, 306537.000000, 131652324.600000, 5330, 36248720, 129990
5879, 1147932239.400000, 318952291, 2921662.000000, 1145010577.400000, 32481, 317865140, 1054670
6452, 1519606426.400000, 436951981, 3771308.800000, 1515835117.600000, 41461, 435551440, 1359080
2442, 169435469.800000, 48683420, 438149.800000, 168997320.000000, 7000, 48490720, 185700
7272, 2348853229.400000, 652324356, 5427949.600000, 2343425279.800000, 53616, 650510700, 1760040
7766, 2942962625.400000, 793677026, 6466885.400000, 2936495740.000000, 62886, 791538400, 2075740
8522, 3961441346.000000, 1132600189, 7030700.400000, 3954410645.600000, 73149, 1130105780, 2421260
9278, 4917957493.800000, 1405621998, 8433820.600000, 4909523673.200000, 86958, 1402655900, 2879140
3128, 273047116.600000, 79004703, 802363.800000, 272244752.800000, 10903, 78671560, 322240
4142, 514660358.200000, 147890882, 1332223.000000, 513328135.200000, 16302, 147371800, 502780
10334, 6783055430.000001, 1863730237, 10813292.800000, 6772242137.200001, 103537, 1860183840, 3442860
