n (number of vertices), total_cycle, total_flops, gbuild_cycle, prop_cycle, bel_cycle, gbuild_flops, prop_flops, bel_flops, iterations, old_prop_flops, old_bel_flops, old_total_flops, bytes_seq, bytes_rnd, sizeof_rnd
981, 846832.567914, 358815, 68490.675876, 743133.477238, 35208.414800, 3360, 348360, 7095, 10, 7611720, 7095, 7622175, 48912, 16608, 8
4847, 10256752.504041, 4486245, 2475845.320297, 7457001.784937, 323905.398807, 20984, 4389160, 76101, 10, 195883640, 76101, 195980725, 570032, 246240, 8
5167, 11412838.006814, 5313381, 2375690.872209, 8672871.442671, 364275.691934, 24544, 5199700, 89137, 10, 229010780, 89137, 229124461, 671760, 294544, 8
1879, 1964814.887937, 895207, 253903.454425, 1626441.709193, 84469.724319, 5330, 873120, 16757, 10, 36359920, 16757, 36382007, 119024, 44480, 8
5879, 14994618.169618, 7093246, 3300075.612137, 11248487.740832, 446054.816648, 32481, 6943540, 117225, 10, 318861020, 117225, 319010726, 890768, 398352, 8
6452, 20117144.084052, 9121073, 5595947.227069, 13995293.891128, 525902.965855, 41461, 8930800, 148812, 10, 436846000, 148812, 437036273, 1138880, 517824, 8
2442, 2891163.118772, 1274134, 471425.257471, 2298685.905204, 121051.956096, 7000, 1243680, 23454, 10, 48652000, 23454, 48682454, 168096, 64512, 8
7272, 24109987.674370, 11793504, 5949897.782402, 17537900.860049, 622189.031919, 53616, 11549340, 190548, 10, 652198020, 190548, 652442184, 1466208, 674928, 8
7766, 28178045.645078, 13894792, 7157900.473534, 20328589.406098, 691555.765447, 62886, 13608800, 223106, 10, 793536480, 223106, 793822472, 1722720, 799232, 8
8522, 32962212.718451, 16198339, 8509785.556122, 23664303.098438, 788124.063890, 73149, 15866020, 259170, 10, 1132441820, 259170, 1132774139, 2005184, 934416, 8
9278, 39034462.258061, 19247008, 10427522.072917, 27723445.379712, 883494.805432, 86958, 18853580, 306470, 10, 1405442260, 306470, 1405835688, 2377536, 1114544, 8
3128, 4946537.850555, 2190863, 1027405.404767, 3733635.675254, 185496.770535, 10903, 2141480, 38480, 10, 78962520, 38480, 79011903, 282816, 116384, 8
4142, 7412475.244814, 3405064, 1411421.775049, 5737111.244750, 263942.225014, 16302, 3330200, 58562, 10, 147833160, 58562, 147908024, 435360, 184544, 8
10334, 46687120.188888, 23002091, 12718716.431472, 32954810.205669, 1013593.551747, 103537, 22533600, 364954, 10, 1863523360, 364954, 1863991851, 2836960, 1335808, 8
