n (number of vertices), total_cycle, total_flops, gbuild_cycle, prop_cycle, bel_cycle, gbuild_flops, prop_flops, bel_flops, iterations, old_prop_flops, old_bel_flops, old_total_flops, databytes
981, 377593.883043, 358815, 68501.320394, 289446.899275, 19645.663374, 3360, 348360, 7095, 10, 7611720, 7095, 7622175, 36684
4847, 5731069.683747, 4486245, 1451457.970523, 4059469.144628, 220142.568595, 20984, 4389160, 76101, 10, 195883640, 76101, 195980725, 427524
5167, 6752390.737716, 5313381, 1781057.599089, 4727789.270420, 243543.868207, 24544, 5199700, 89137, 10, 229010780, 89137, 229124461, 503820
1879, 994193.446561, 895207, 197660.817612, 738644.292777, 57888.336173, 5330, 873120, 16757, 10, 36359920, 16757, 36382007, 89268
5879, 8814109.305662, 7093246, 2414761.221371, 6102829.682418, 296518.401873, 32481, 6943540, 117225, 10, 318861020, 117225, 319010726, 668076
6452, 11033068.732372, 9121073, 3211514.547009, 7474344.902778, 347209.282585, 41461, 8930800, 148812, 10, 436846000, 148812, 437036273, 854160
2442, 1517840.273592, 1274134, 327901.249124, 1103027.084997, 86911.939472, 7000, 1243680, 23454, 10, 48652000, 23454, 48682454, 126072
7272, 14078751.385929, 11793504, 4378885.022541, 9288747.906421, 411118.456967, 53616, 11549340, 190548, 10, 652198020, 190548, 652442184, 1099656
7766, 16369672.664280, 13894792, 5222810.561655, 10694903.598250, 451958.504375, 62886, 13608800, 223106, 10, 793536480, 223106, 793822472, 1292040
8522, 19192517.884220, 16198339, 6294963.274510, 12394698.365079, 502856.244631, 73149, 15866020, 259170, 10, 1132441820, 259170, 1132774139, 1503888
9278, 23327894.761092, 19247008, 8377789.749716, 14389466.927190, 560638.084187, 86958, 18853580, 306470, 10, 1405442260, 306470, 1405835688, 1783152
3128, 2723074.897316, 2190863, 611172.216258, 1982165.257358, 129737.423700, 10903, 2141480, 38480, 10, 78962520, 38480, 79011903, 212112
4142, 4520677.673102, 3405064, 1193738.898265, 3144766.375705, 182172.399132, 16302, 3330200, 58562, 10, 147833160, 58562, 147908024, 326520
10334, 26729486.074316, 23002091, 9329088.273794, 16768468.800522, 631929.000000, 103537, 22533600, 364954, 10, 1863523360, 364954, 1863991851, 2127720
