n (number of vertices), total_cycle, total_flops, gbuild_cycle, prop_cycle, bel_cycle, gbuild_flops, prop_flops, bel_flops, iterations, old_prop_flops, old_bel_flops, old_total_flops
981, 3443887.343537, 3494055, 93250.008503, 3313815.586735, 36821.748299, 3360, 3483600, 7095, 100, 76117200, 7095, 76127655
4847, 42135553.979167, 43988685, 2109599.125000, 39681372.333333, 344582.520833, 20984, 43891600, 76101, 100, 1958836400, 76101, 1958933485
5167, 49493075.560976, 52110681, 2470734.000000, 46634616.512195, 387725.048780, 24544, 51997000, 89137, 100, 2290107800, 89137, 2290221481
1879, 8336252.847737, 8753287, 253765.823045, 7991302.288066, 91184.736626, 5330, 8731200, 16757, 100, 363599200, 16757, 363621287
5879, 65157199.032258, 69585106, 3443876.129032, 61242611.193548, 470711.709677, 32481, 69435400, 117225, 100, 3188610200, 117225, 3188759906
6452, 84106000.166667, 89498273, 5798741.291667, 77742479.708333, 564779.166667, 41461, 89308000, 148812, 100, 4368460000, 148812, 4368650273
2442, 12055985.815476, 12467254, 425026.273810, 11500562.589286, 130396.952381, 7000, 12436800, 23454, 100, 486520000, 23454, 486550454
7272, 106276546.000000, 115737564, 7176570.894737, 98446882.631579, 653092.473684, 53616, 115493400, 190548, 100, 6521980200, 190548, 6522224364
7766, 125515424.000000, 136373992, 9367790.352941, 115420991.941176, 726641.705882, 62886, 136088000, 223106, 100, 7935364800, 223106, 7935650792
8522, 149913053.214286, 158992519, 9152209.500000, 139929972.285714, 830871.428571, 73149, 158660200, 259170, 100, 11324418200, 259170, 11324750519
9278, 173328450.833333, 188929228, 10810075.750000, 161607362.000000, 911013.083333, 86958, 188535800, 306470, 100, 14054422600, 306470, 14054816028
3128, 20504113.616162, 21464183, 864668.545455, 19439343.141414, 200101.929293, 10903, 21414800, 38480, 100, 789625200, 38480, 789674583
4142, 32124296.222222, 33376864, 1512196.904762, 30331643.714286, 280455.603175, 16302, 33302000, 58562, 100, 1478331600, 58562, 1478406464
10334, 209874214.800000, 225804491, 15993866.300000, 192850146.100000, 1030202.400000, 103537, 225336000, 364954, 100, 18635233600, 364954, 18635702091
