n (number of vertices), total_cycle, total_flops, gbuild_cycle, prop_cycle, bel_cycle, gbuild_flops, prop_flops, bel_flops, iterations, old_prop_flops, old_bel_flops, old_total_flops
981, 3509337.970383, 3494055, 80261.000000, 3408213.909408, 20863.060976, 3360, 3483600, 7095, 100, 76117200, 7095, 76127655
4847, 58767411.828571, 43988685, 1777599.542857, 56778514.885714, 211297.400000, 20984, 43891600, 76101, 100, 1958836400, 76101, 1958933485
5167, 71485174.137931, 52110681, 2492530.896552, 68740172.275862, 252470.965517, 24544, 51997000, 89137, 100, 2290107800, 89137, 2290221481
1879, 9688543.677885, 8753287, 229718.432692, 9399391.245192, 59434.000000, 5330, 8731200, 16757, 100, 363599200, 16757, 363621287
5879, 92496087.454545, 69585106, 3235002.227273, 88975979.818182, 285105.409091, 32481, 69435400, 117225, 100, 3188610200, 117225, 3188759906
6452, 118066676.000000, 89498273, 4316771.352941, 113413808.588235, 336096.058824, 41461, 89308000, 148812, 100, 4368460000, 148812, 4368650273
2442, 13975263.104167, 12467254, 359271.263889, 13530990.715278, 85001.125000, 7000, 12436800, 23454, 100, 486520000, 23454, 486550454
7272, 149627239.500000, 115737564, 5371312.857143, 143863410.000000, 392516.642857, 53616, 115493400, 190548, 100, 6521980200, 190548, 6522224364
7766, 175848274.250000, 136373992, 6979430.666667, 168424283.000000, 444560.583333, 62886, 136088000, 223106, 100, 7935364800, 223106, 7935650792
8522, 209278736.500000, 158992519, 8681102.100000, 200093316.300000, 504318.100000, 73149, 158660200, 259170, 100, 11324418200, 259170, 11324750519
9278, 241081095.222222, 188929228, 8771371.555556, 231768701.777778, 541021.888889, 86958, 188535800, 306470, 100, 14054422600, 306470, 14054816028
3128, 25825036.666667, 21464183, 661202.346154, 25039367.012821, 124467.307692, 10903, 21414800, 38480, 100, 789625200, 38480, 789674583
4142, 42667839.354167, 33376864, 1250271.666667, 41239787.312500, 177780.375000, 16302, 33302000, 58562, 100, 1478331600, 58562, 1478406464
10334, 287095449.571429, 225804491, 12096514.000000, 274391573.857143, 607361.714286, 103537, 225336000, 364954, 100, 18635233600, 364954, 18635702091
