n (number of vertices), total_cycle, total_flops, gbuild_cycle, prop_cycle, bel_cycle, gbuild_flops, prop_flops, bel_flops, iterations, old_prop_flops, old_bel_flops, old_total_flops, bytes_seq, bytes_rnd, sizeof_rnd
981, 551070.073813, 481047, 79063.157572, 455856.726779, 16150.189462, 3360, 459480, 18207, 10, 7942920, 18207, 7964487, 68904, 30528, 4
4847, 7214468.945143, 5020669, 2315825.790278, 4634010.424745, 264632.730120, 20984, 4875000, 124685, 10, 200456840, 124685, 200602509, 479352, 220288, 4
5167, 8352566.205149, 5881113, 2755348.325620, 5297769.006463, 299448.873066, 24544, 5715820, 140749, 10, 234429820, 140749, 234595113, 542328, 250496, 4
1879, 1488506.981861, 1133159, 361892.670334, 1068555.800265, 58058.511263, 5330, 1089440, 38389, 10, 37344720, 38389, 37388439, 146040, 65504, 4
5879, 10757313.056806, 7727682, 3695683.671840, 6687580.671750, 374048.713216, 32481, 7520300, 174901, 10, 326085980, 174901, 326293362, 676088, 314528, 4
6452, 12833312.319659, 9800961, 4179553.966583, 8203424.080230, 450334.272847, 41461, 9548880, 210620, 10, 446020240, 210620, 446272321, 816672, 382528, 4
2442, 2224596.137776, 1560134, 564764.882652, 1564586.150108, 95245.105016, 7000, 1503680, 49454, 10, 50006400, 49454, 50062854, 188048, 84256, 4
7272, 17088283.765483, 12550700, 6313889.146465, 10225246.827812, 549147.791207, 53616, 12237700, 259384, 10, 664407940, 259384, 664720940, 1008448, 475136, 4
7766, 20010072.452340, 14695768, 7537591.326807, 11842488.057793, 629993.067740, 62886, 14336960, 295922, 10, 808047040, 295922, 808405848, 1152624, 545248, 4
8522, 23198957.678829, 17070727, 8816720.593310, 13661286.018033, 720951.067486, 73149, 16659100, 338478, 10, 1149250140, 338478, 1149661767, 1319824, 625824, 4
9278, 27622698.425548, 20189356, 10706394.021368, 16076663.245659, 839641.158521, 86958, 19710260, 392138, 10, 1425591540, 392138, 1426070636, 1531440, 728608, 4
3128, 3645658.921734, 2540663, 1034616.183530, 2460045.685363, 150997.052841, 10903, 2459480, 70280, 10, 81228760, 70280, 81309943, 268608, 121792, 4
4142, 5594550.904788, 3861168, 1715888.715511, 3662597.667887, 216064.521389, 16302, 3744840, 100026, 10, 151415240, 100026, 151531568, 383536, 175200, 4
10334, 33193705.850463, 24059851, 12951056.258398, 19257089.049307, 985560.542758, 103537, 23495200, 461114, 10, 1887018560, 461114, 1887583211, 1803120, 860224, 4
