n (number of vertices), total_cycle, total_flops, gbuild_cycle, prop_cycle, bel_cycle, gbuild_flops, prop_flops, bel_flops, iterations, old_prop_flops, old_bel_flops, old_total_flops, bytes_seq, bytes_rnd, sizeof_rnd
981, 357166.377067, 358815, 54991.977277, 285695.499611, 16478.900178, 3360, 348360, 7095, 10, 7611720, 7095, 7622175, 24456, 8304, 4
4847, 5378658.248148, 4486245, 1631878.593668, 3535826.710134, 210952.944346, 20984, 4389160, 76101, 10, 195883640, 76101, 195980725, 285016, 123120, 4
5167, 6527659.902536, 5313381, 2148872.228191, 4143015.678406, 235771.995940, 24544, 5199700, 89137, 10, 229010780, 89137, 229124461, 335880, 147272, 4
1879, 946207.829826, 895207, 164592.924880, 732316.835669, 49298.069277, 5330, 873120, 16757, 10, 36359920, 16757, 36382007, 59512, 22240, 4
5879, 8700327.313379, 7093246, 3016835.433655, 5398395.196934, 285096.682790, 32481, 6943540, 117225, 10, 318861020, 117225, 319010726, 445384, 199176, 4
6452, 10495236.097072, 9121073, 3503461.943277, 6657886.294940, 333887.858855, 41461, 8930800, 148812, 10, 436846000, 148812, 437036273, 569440, 258912, 4
2442, 1420693.055422, 1274134, 282156.134812, 1060216.129495, 78320.791115, 7000, 1243680, 23454, 10, 48652000, 23454, 48682454, 84048, 32256, 4
7272, 13459013.669758, 11793504, 4701659.281955, 8353787.203509, 403567.184294, 53616, 11549340, 190548, 10, 652198020, 190548, 652442184, 733104, 337464, 4
7766, 16648880.831514, 13894792, 6587719.206851, 9618714.394382, 442447.230281, 62886, 13608800, 223106, 10, 793536480, 223106, 793822472, 861360, 399616, 4
8522, 19337828.025381, 16198339, 7788490.507788, 11064088.760124, 485248.757468, 73149, 15866020, 259170, 10, 1132441820, 259170, 1132774139, 1002592, 467208, 4
9278, 21724774.379609, 19247008, 8280632.276490, 12890758.214488, 553383.888631, 86958, 18853580, 306470, 10, 1405442260, 306470, 1405835688, 1188768, 557272, 4
3128, 2526946.541525, 2190863, 625427.706191, 1775560.244283, 125958.591051, 10903, 2141480, 38480, 10, 78962520, 38480, 79011903, 141408, 58192, 4
4142, 4063516.911953, 3405064, 1144319.410526, 2743877.222533, 175320.278894, 16302, 3330200, 58562, 10, 147833160, 58562, 147908024, 217680, 92272, 4
10334, 27529534.057480, 23002091, 11720062.030445, 15185008.691373, 624463.335662, 103537, 22533600, 364954, 10, 1863523360, 364954, 1863991851, 1418480, 667904, 4
