n (number of vertices), total_cycle, total_flops, gbuild_cycle, prop_cycle, bel_cycle, gbuild_flops, prop_flops, bel_flops, iterations, old_prop_flops, old_bel_flops, old_total_flops
981, 3109663.069444, 3494055, 83892.774691, 3004194.251543, 21576.043210, 3360, 3483600, 7095, 100, 76117200, 7095, 76127655
4847, 37942898.537037, 43988685, 1760059.185185, 35964907.240741, 217932.111111, 20984, 43891600, 76101, 100, 1958836400, 76101, 1958933485
5167, 44735135.622222, 52110681, 2282623.711111, 42209548.200000, 242963.711111, 24544, 51997000, 89137, 100, 2290107800, 89137, 2290221481
1879, 7953398.059055, 8753287, 222337.129921, 7669765.484252, 61295.444882, 5330, 8731200, 16757, 100, 363599200, 16757, 363621287
5879, 59803456.264706, 69585106, 3256493.382353, 56241720.705882, 305242.176471, 32481, 69435400, 117225, 100, 3188610200, 117225, 3188759906
6452, 75736447.814815, 89498273, 4318122.740741, 71060213.370370, 358111.703704, 41461, 89308000, 148812, 100, 4368460000, 148812, 4368650273
2442, 11360968.550562, 12467254, 354464.292135, 10918284.264045, 88219.994382, 7000, 12436800, 23454, 100, 486520000, 23454, 486550454
7272, 90694047.043478, 115737564, 5413688.130435, 84877238.478261, 403120.434783, 53616, 115493400, 190548, 100, 6521980200, 190548, 6522224364
7766, 109225748.210526, 136373992, 7145237.052632, 101604769.789474, 475741.368421, 62886, 136088000, 223106, 100, 7935364800, 223106, 7935650792
8522, 120167082.705882, 158992519, 8139713.411765, 111531049.470588, 496319.823529, 73149, 158660200, 259170, 100, 11324418200, 259170, 11324750519
9278, 139026418.066667, 188929228, 8683275.600000, 129785256.133333, 557886.333333, 86958, 188535800, 306470, 100, 14054422600, 306470, 14054816028
3128, 18517607.211009, 21464183, 650738.724771, 17737783.192661, 129085.293578, 10903, 21414800, 38480, 100, 789625200, 38480, 789674583
4142, 28905411.071429, 33376864, 1229859.000000, 27496566.485714, 178985.585714, 16302, 33302000, 58562, 100, 1478331600, 58562, 1478406464
10334, 166962868.153846, 225804491, 12008558.615385, 154326089.615385, 628219.923077, 103537, 225336000, 364954, 100, 18635233600, 364954, 18635702091
