n (number of vertices), total_cycle, total_flops, gbuild_cycle, prop_cycle, bel_cycle, gbuild_flops, prop_flops, bel_flops, iterations, old_prop_flops, old_bel_flops, old_total_flops, bytes_seq, bytes_rnd, sizeof_rnd
981, 200458.903857, 358815, 57687.717332, 131980.661189, 10790.525336, 3360, 348360, 7095, 10, 7611720, 7095, 7622175, 24456, 8304, 4
4847, 4203017.303493, 4486245, 1647234.560277, 2380290.787965, 175491.955251, 20984, 4389160, 76101, 10, 195883640, 76101, 195980725, 285016, 123120, 4
5167, 5162975.291324, 5313381, 2141179.631421, 2826099.143511, 195696.516392, 24544, 5199700, 89137, 10, 229010780, 89137, 229124461, 335880, 147272, 4
1879, 553171.043812, 895207, 166393.846656, 354854.383044, 31922.814113, 5330, 873120, 16757, 10, 36359920, 16757, 36382007, 59512, 22240, 4
5879, 7077404.056815, 7093246, 3026932.995157, 3806092.711350, 244378.350308, 32481, 6943540, 117225, 10, 318861020, 117225, 319010726, 445384, 199176, 4
6452, 8518410.036257, 9121073, 3481942.775070, 4750281.306508, 286185.954679, 41461, 8930800, 148812, 10, 436846000, 148812, 437036273, 569440, 258912, 4
2442, 937736.572765, 1274134, 286049.584954, 593459.437034, 58227.550776, 7000, 1243680, 23454, 10, 48652000, 23454, 48682454, 84048, 32256, 4
7272, 11231498.510809, 11793504, 4709014.432203, 6179320.980101, 343163.098505, 53616, 11549340, 190548, 10, 652198020, 190548, 652442184, 733104, 337464, 4
7766, 14085546.999867, 13894792, 6634032.746684, 7071578.353324, 379935.899859, 62886, 13608800, 223106, 10, 793536480, 223106, 793822472, 861360, 399616, 4
8522, 16509948.665096, 16198339, 7817563.171875, 8266850.491071, 425535.002149, 73149, 15866020, 259170, 10, 1132441820, 259170, 1132774139, 1002592, 467208, 4
9278, 18415965.306998, 19247008, 8255617.400990, 9688501.042829, 471846.863178, 86958, 18853580, 306470, 10, 1405442260, 306470, 1405835688, 1188768, 557272, 4
3128, 1833689.027923, 2190863, 632135.468015, 1102259.252596, 99294.307312, 10903, 2141480, 38480, 10, 78962520, 38480, 79011903, 141408, 58192, 4
4142, 3101437.750199, 3405064, 1148974.748392, 1807946.629881, 144516.371927, 16302, 3330200, 58562, 10, 147833160, 58562, 147908024, 217680, 92272, 4
10334, 23822348.087405, 23002091, 11688783.542056, 11596993.497332, 536571.048017, 103537, 22533600, 364954, 10, 1863523360, 364954, 1863991851, 1418480, 667904, 4
169867, 5028362568.222222, 3858482966, 1941338794.222222, 3062061695.000000, 24962079.000000, 17612397, 3782379580, 58490989, 10, 5887738703780, 58490989, 5887814807166, 233284488, 115962776, 4
187172, 5733029144.190476, 4395655085, 2165616467.333333, 3539156158.571428, 28256518.285714, 20060809, 4308971260, 66623016, 10, 7623877874340, 66623016, 7623964558165, 265743376, 132123000, 4
204131, 6668411649.166666, 4943819562, 2565568855.666667, 4071110650.000000, 31732143.500000, 22568225, 4846331240, 74920097, 10, 9600513986440, 74920097, 9600611474762, 298863864, 148615408, 4
221003, 7593368749.525252, 5493628325, 2917054380.888889, 4641179419.090909, 35134949.545455, 25073188, 5385313160, 83241977, 10, 11805626284760, 83241977, 11805734599925, 332083896, 165157936, 4
45729, 591464771.974510, 536651105, 261076261.700000, 326043106.653595, 4345403.620915, 2442374, 526034980, 8173751, 10, 145103891980, 8173751, 145114508105, 32512088, 16073128, 4
71223, 1239235754.542857, 1098103147, 516037757.400000, 715213493.671429, 7984503.471429, 5006374, 1076410600, 16686173, 10, 530488508280, 16686173, 530510200827, 66459800, 32945008, 4
92295, 1961134989.679293, 1651975400, 824353374.111111, 1125349092.613636, 11432522.954545, 7530491, 1619368260, 25076649, 10, 1142974063100, 25076649, 1143006670240, 99937416, 49599528, 4
111227, 2676595486.267361, 2202860461, 1094390298.111111, 1567346575.375000, 14858612.781250, 10051092, 2159391180, 33418189, 10, 1983622274260, 33418189, 1983665743541, 133227848, 66169016, 4
135339, 3421877655.041667, 2763444458, 1368444844.000000, 2035057235.166667, 18375575.875000, 12608081, 2708921220, 41915157, 10, 3076498437660, 41915157, 3076552960898, 167119272, 83018280, 4
152638, 4242491047.198830, 3309538662, 1670539919.777778, 2550183771.526316, 21767355.894737, 15104716, 3244252320, 50181626, 10, 4360387411360, 50181626, 4360452697702, 200115952, 99447424, 4
221588, 7725210373.959596, 5513114465, 3030545448.777778, 4659659826.454546, 35005098.727273, 25163269, 5404414320, 83536876, 10, 11888072091920, 83536876, 11888180792065, 333261152, 165744224, 4
