n (number of vertices), total_cycle, total_flops, gbuild_cycle, prop_cycle, bel_cycle, gbuild_flops, prop_flops, bel_flops, iterations, old_prop_flops, old_bel_flops, old_total_flops, bytes_seq, bytes_rnd, sizeof_rnd
981, 7568961.194804, 358815, 68654.118648, 7437548.059646, 62759.016510, 3360, 348360, 7095, 10, 7611720, 7095, 7622175, 48912, 16608, 8
4847, 203516088.546970, 4486245, 2467144.742970, 200696011.596000, 352932.208000, 20984, 4389160, 76101, 10, 195883640, 76101, 195980725, 570032, 246240, 8
5167, 236944845.555358, 5313381, 2397536.008629, 234148308.018692, 399001.528037, 24544, 5199700, 89137, 10, 229010780, 89137, 229124461, 671760, 294544, 8
1879, 37716737.995525, 895207, 252995.028385, 37350029.324869, 113713.642270, 5330, 873120, 16757, 10, 36359920, 16757, 36382007, 119024, 44480, 8
5879, 329527303.252306, 7093246, 3294110.297760, 325756359.538961, 476833.415584, 32481, 6943540, 117225, 10, 318861020, 117225, 319010726, 890768, 398352, 8
6452, 452676809.209359, 9121073, 5575598.414716, 446544012.303571, 557198.491071, 41461, 8930800, 148812, 10, 436846000, 148812, 437036273, 1138880, 517824, 8
2442, 50554011.046571, 1274134, 475447.244176, 49927080.401198, 151483.401198, 7000, 1243680, 23454, 10, 48652000, 23454, 48682454, 168096, 64512, 8
7272, 677018366.731770, 11793504, 5987270.571770, 670372190.706667, 658905.453333, 53616, 11549340, 190548, 10, 652198020, 190548, 652442184, 1466208, 674928, 8
7766, 824135617.760686, 13894792, 7261514.744557, 816138924.145161, 735178.870968, 62886, 13608800, 223106, 10, 793536480, 223106, 793822472, 1722720, 799232, 8
8522, 1185574001.124747, 16198339, 8550905.241026, 1176192505.558140, 830590.325581, 73149, 15866020, 259170, 10, 1132441820, 259170, 1132774139, 2005184, 934416, 8
9278, 1470872058.133929, 19247008, 10426683.162500, 1459527499.514286, 917875.457143, 86958, 18853580, 306470, 10, 1405442260, 306470, 1405835688, 2377536, 1114544, 8
3128, 81689071.955516, 2190863, 1029218.056802, 80446742.369775, 213111.528939, 10903, 2141480, 38480, 10, 78962520, 38480, 79011903, 282816, 116384, 8
4142, 153530991.161007, 3405064, 1408813.730704, 151831788.772727, 290388.657576, 16302, 3330200, 58562, 10, 147833160, 58562, 147908024, 435360, 184544, 8
10334, 1955601183.317381, 23002091, 12731284.740458, 1941817111.730769, 1052786.846154, 103537, 22533600, 364954, 10, 1863523360, 364954, 1863991851, 2836960, 1335808, 8
169867, 642544215272.000000, 454341344, 2626084738.000000, 639856449349.000000, 61681185.000000, 17612397, 378237958, 58490989, 1, 588773870378, 58490989, 588849973764, 466568976, 231925552, 8
187172, 832198079656.000000, 517580951, 3179107021.000000, 828949191644.000000, 69780991.000000, 20060809, 430897126, 66623016, 1, 762387787434, 66623016, 762474471259, 531486752, 264246000, 8
204131, 1047961564231.000000, 582121446, 3747373836.000000, 1044134647968.000000, 79542427.000000, 22568225, 484633124, 74920097, 1, 960051398644, 74920097, 960148886966, 597727728, 297230816, 8
221003, 1288920108889.000000, 646846481, 4588788976.000000, 1284243733217.000000, 87586696.000000, 25073188, 538531316, 83241977, 1, 1180562628476, 83241977, 1180670943641, 664167792, 330315872, 8
45729, 15808033049.000000, 63219623, 282851437.750000, 15514618228.000000, 10563383.250000, 2442374, 52603498, 8173751, 1, 14510389198, 8173751, 14521005323, 65024176, 32146256, 8
71223, 57825858952.000000, 129333607, 619261903.000000, 57186963862.000000, 19633187.000000, 5006374, 107641060, 16686173, 1, 53048850828, 16686173, 53070543375, 132919600, 65890016, 8
92295, 124788151325.000000, 194543966, 910287205.000000, 123849748636.000000, 28115484.000000, 7530491, 161936826, 25076649, 1, 114297406310, 25076649, 114330013450, 199874832, 99199056, 8
111227, 216251279812.000000, 259408399, 1232115912.000000, 214982321519.000000, 36842381.000000, 10051092, 215939118, 33418189, 1, 198362227426, 33418189, 198405696707, 266455696, 132338032, 8
135339, 335421548828.000000, 325415360, 1553792421.000000, 333821758966.000000, 45997441.000000, 12608081, 270892122, 41915157, 1, 307649843766, 41915157, 307704367004, 334238544, 166036560, 8
152638, 475648749584.000000, 389711574, 2068110710.000000, 473525926119.000000, 54712755.000000, 15104716, 324425232, 50181626, 1, 436038741136, 50181626, 436104027478, 400231904, 198894848, 8
221588, 1297965514088.000000, 649141577, 4707134740.000000, 1293166767967.000000, 91611381.000000, 25163269, 540441432, 83536876, 1, 1188807209192, 83536876, 1188915909337, 666522304, 331488448, 8
