n (number of vertices), total_cycle, total_flops, gbuild_cycle, prop_cycle, bel_cycle, gbuild_flops, prop_flops, bel_flops, iterations, old_prop_flops, old_bel_flops, old_total_flops, bytes_seq, bytes_rnd, sizeof_rnd
981, 444543.544937, 358815, 85174.147265, 323828.137547, 35541.260125, 3360, 348360, 7095, 10, 7611720, 7095, 7622175, 48912, 16608, 8
4847, 6082449.837738, 4486245, 1706966.358194, 4039228.897610, 336254.581935, 20984, 4389160, 76101, 10, 195883640, 76101, 195980725, 570032, 246240, 8
5167, 7530194.931296, 5313381, 2412883.396800, 4729171.167690, 388140.366805, 24544, 5199700, 89137, 10, 229010780, 89137, 229124461, 671760, 294544, 8
1879, 1127463.934092, 895207, 242352.243808, 796559.951691, 88551.738593, 5330, 873120, 16757, 10, 36359920, 16757, 36382007, 119024, 44480, 8
5879, 9946176.714313, 7093246, 3358814.763602, 6121085.067488, 466276.883223, 32481, 6943540, 117225, 10, 318861020, 117225, 319010726, 890768, 398352, 8
6452, 11941661.826008, 9121073, 3727273.304486, 7660432.276702, 553956.244819, 41461, 8930800, 148812, 10, 436846000, 148812, 437036273, 1138880, 517824, 8
2442, 1686205.930929, 1274134, 394514.502696, 1163943.856871, 127747.571362, 7000, 1243680, 23454, 10, 48652000, 23454, 48682454, 168096, 64512, 8
7272, 15394576.083996, 11793504, 5086935.268199, 9652992.538462, 654648.277336, 53616, 11549340, 190548, 10, 652198020, 190548, 652442184, 1466208, 674928, 8
7766, 18123156.102296, 13894792, 6041507.833333, 11355917.043145, 725731.225818, 62886, 13608800, 223106, 10, 793536480, 223106, 793822472, 1722720, 799232, 8
8522, 23701717.609611, 16198339, 9666120.231121, 13224457.681007, 811139.697483, 73149, 15866020, 259170, 10, 1132441820, 259170, 1132774139, 2005184, 934416, 8
9278, 28357435.650933, 19247008, 11743595.623491, 15712732.066959, 901107.960483, 86958, 18853580, 306470, 10, 1405442260, 306470, 1405835688, 2377536, 1114544, 8
3128, 2931476.241242, 2190863, 753816.792150, 1983293.454182, 194365.994909, 10903, 2141480, 38480, 10, 78962520, 38480, 79011903, 282816, 116384, 8
4142, 4668368.445069, 3405064, 1257582.515237, 3133485.927812, 277300.002020, 16302, 3330200, 58562, 10, 147833160, 58562, 147908024, 435360, 184544, 8
10334, 30482534.912787, 23002091, 10584519.142605, 18881648.642310, 1016367.127873, 103537, 22533600, 364954, 10, 1863523360, 364954, 1863991851, 2836960, 1335808, 8
169867, 6992682592.000000, 3858482966, 3009376455.500000, 3919518458.500000, 63787678.000000, 17612397, 3782379580, 58490989, 10, 5887738703780, 58490989, 5887814807166, 466568976, 231925552, 8
187172, 8689855298.833332, 4395655085, 3774466621.833333, 4842681467.000000, 72707210.000000, 20060809, 4308971260, 66623016, 10, 7623877874340, 66623016, 7623964558165, 531486752, 264246000, 8
204131, 10730090759.000000, 4943819562, 4613301416.200000, 6034642958.200001, 82146384.600000, 22568225, 4846331240, 74920097, 10, 9600513986440, 74920097, 9600611474762, 597727728, 297230816, 8
221003, 12742484205.000000, 5493628325, 5474761397.500000, 7176174345.500000, 91548462.000000, 25073188, 5385313160, 83241977, 10, 11805626284760, 83241977, 11805734599925, 664167792, 330315872, 8
45729, 726933313.728571, 536651105, 281147885.171429, 435580760.528571, 10204668.028571, 2442374, 526034980, 8173751, 10, 145103891980, 8173751, 145114508105, 65024176, 32146256, 8
71223, 1579757327.272727, 1098103147, 629144055.939394, 931166323.818182, 19446947.515152, 5006374, 1076410600, 16686173, 10, 530488508280, 16686173, 530510200827, 132919600, 65890016, 8
92295, 2413158691.619048, 1651975400, 929842322.809524, 1454974141.142857, 28342227.666667, 7530491, 1619368260, 25076649, 10, 1142974063100, 25076649, 1143006670240, 199874832, 99199056, 8
111227, 3314721788.375000, 2202860461, 1277566057.687500, 2000131588.312500, 37024142.375000, 10051092, 2159391180, 33418189, 10, 1983622274260, 33418189, 1983665743541, 266455696, 132338032, 8
135339, 4487287083.500000, 2763444458, 1819821189.750000, 2621368630.083333, 46097263.666667, 12608081, 2708921220, 41915157, 10, 3076498437660, 41915157, 3076552960898, 334238544, 166036560, 8
152638, 5630944020.777778, 3309538662, 2373894492.888889, 3202405195.444444, 54644332.444444, 15104716, 3244252320, 50181626, 10, 4360387411360, 50181626, 4360452697702, 400231904, 198894848, 8
221588, 12861445310.250000, 5513114465, 5517189678.000000, 7252488408.250000, 91767224.000000, 25163269, 5404414320, 83536876, 10, 11888072091920, 83536876, 11888180792065, 666522304, 331488448, 8
