n (number of vertices), total_cycle, total_flops, gbuild_cycle, prop_cycle, bel_cycle, gbuild_flops, prop_flops, bel_flops, iterations, old_prop_flops, old_bel_flops, old_total_flops, bytes_seq, bytes_rnd, sizeof_rnd
981, 551070.073813, 481047, 79063.157572, 455856.726779, 16150.189462, 3360, 459480, 18207, 10, 7942920, 18207, 7964487, 68904, 30528, 4
4847, 7214468.945143, 5020669, 2315825.790278, 4634010.424745, 264632.730120, 20984, 4875000, 124685, 10, 200456840, 124685, 200602509, 479352, 220288, 4
5167, 8352566.205149, 5881113, 2755348.325620, 5297769.006463, 299448.873066, 24544, 5715820, 140749, 10, 234429820, 140749, 234595113, 542328, 250496, 4
1879, 1488506.981861, 1133159, 361892.670334, 1068555.800265, 58058.511263, 5330, 1089440, 38389, 10, 37344720, 38389, 37388439, 146040, 65504, 4
5879, 10757313.056806, 7727682, 3695683.671840, 6687580.671750, 374048.713216, 32481, 7520300, 174901, 10, 326085980, 174901, 326293362, 676088, 314528, 4
6452, 12833312.319659, 9800961, 4179553.966583, 8203424.080230, 450334.272847, 41461, 9548880, 210620, 10, 446020240, 210620, 446272321, 816672, 382528, 4
2442, 2224596.137776, 1560134, 564764.882652, 1564586.150108, 95245.105016, 7000, 1503680, 49454, 10, 50006400, 49454, 50062854, 188048, 84256, 4
7272, 17088283.765483, 12550700, 6313889.146465, 10225246.827812, 549147.791207, 53616, 12237700, 259384, 10, 664407940, 259384, 664720940, 1008448, 475136, 4
7766, 20010072.452340, 14695768, 7537591.326807, 11842488.057793, 629993.067740, 62886, 14336960, 295922, 10, 808047040, 295922, 808405848, 1152624, 545248, 4
8522, 23198957.678829, 17070727, 8816720.593310, 13661286.018033, 720951.067486, 73149, 16659100, 338478, 10, 1149250140, 338478, 1149661767, 1319824, 625824, 4
9278, 27622698.425548, 20189356, 10706394.021368, 16076663.245659, 839641.158521, 86958, 19710260, 392138, 10, 1425591540, 392138, 1426070636, 1531440, 728608, 4
3128, 3645658.921734, 2540663, 1034616.183530, 2460045.685363, 150997.052841, 10903, 2459480, 70280, 10, 81228760, 70280, 81309943, 268608, 121792, 4
4142, 5594550.904788, 3861168, 1715888.715511, 3662597.667887, 216064.521389, 16302, 3744840, 100026, 10, 151415240, 100026, 151531568, 383536, 175200, 4
10334, 33193705.850463, 24059851, 12951056.258398, 19257089.049307, 985560.542758, 103537, 23495200, 461114, 10, 1887018560, 461114, 1887583211, 1803120, 860224, 4
169867, 6993200743.010101, 3872549810, 2489313903.555555, 4373702637.272727, 130184202.181818, 17612397, 3795167620, 59769793, 10, 5891779291540, 59769793, 5891856673730, 238399704, 118520384, 4
187172, 8674353981.444445, 4411074665, 2945530024.555555, 5581164386.888888, 147659570.000000, 20060809, 4322989060, 68024796, 10, 7628530899620, 68024796, 7628618985225, 271350496, 134926560, 4
204131, 10600398680.253967, 4960526098, 3694596955.111111, 6739466121.571428, 166335603.571429, 22568225, 4861519000, 76438873, 10, 9605692505800, 76438873, 9605791512898, 304938968, 151652960, 4
221003, 12571495373.444445, 5511628637, 4331651858.444445, 8053883371.833333, 185960143.166667, 25073188, 5401677080, 84878369, 10, 11811417289640, 84878369, 11811527241197, 338629464, 168430720, 4
45729, 741827778.052149, 540772101, 263253849.263158, 459935560.926606, 18638367.862385, 2442374, 529781340, 8548387, 10, 145675014540, 8548387, 145686005301, 34010632, 16822400, 4
71223, 1566950528.372549, 1104371299, 547301613.000000, 982452721.058823, 37196194.313725, 5006374, 1082108920, 17256005, 10, 531633351240, 17256005, 531655613619, 68739128, 34084672, 4
92295, 2601806145.718750, 1659949036, 1012582711.000000, 1533393652.062500, 55829782.656250, 7530491, 1626617020, 25801525, 10, 1144742179340, 25801525, 1144775511356, 102836920, 51049280, 4
111227, 3314446972.583333, 2212318745, 1149100833.666667, 2091155455.000000, 74190683.916667, 10051092, 2167989620, 34278033, 10, 1985961496260, 34278033, 1986005825385, 136667224, 67888704, 4
135339, 4344951661.944445, 2774910638, 1542043043.444444, 2708470017.944444, 94438600.555556, 12608081, 2719345020, 42957537, 10, 3079427005580, 42957537, 3079482571198, 171288792, 85103040, 4
152638, 5541789887.793651, 3322315558, 2000016053.222222, 3429924229.357142, 111849605.214286, 15104716, 3255867680, 51343162, 10, 4363900264960, 51343162, 4363966712838, 204762096, 101770496, 4
221588, 12576463066.833332, 5531164321, 4242102868.666667, 8148310921.833333, 186049276.333333, 25163269, 5420823280, 85177772, 10, 11893856964560, 85177772, 11893967305601, 339824736, 169026016, 4
